0_Transfer Time_s,0_Bandwidth_GB/s
4.4128e-05,0.000147735
8.752e-05,7.4489e-05
8.2912e-05,7.8629e-05
3.9296e-05,0.000165901
3.7376e-05,0.000174424
3.5936e-05,0.000181413
3.5456e-05,0.000183869
3.4976e-05,0.000186392
3.4368e-05,0.00018969
3.5072e-05,0.000185882
3.6064e-05,0.000180769
3.872e-05,0.000168369
3.5872e-05,0.000181737
3.5456e-05,0.000183869
3.5648e-05,0.000182879
3.712e-05,0.000175627
3.6224e-05,0.000179971
3.6736e-05,0.000177462
3.7824e-05,0.000172358
3.6992e-05,0.000176234
3.5744e-05,0.000182387
3.5808e-05,0.000182061
3.5872e-05,0.000181737
3.68e-05,0.000177154
3.5488e-05,0.000183703
3.552e-05,0.000183538
3.5104e-05,0.000185713
3.6832e-05,0.000177
3.4784e-05,0.000187421
3.4016e-05,0.000191653
3.8016e-05,0.000171487
3.7216e-05,0.000175174
3.632e-05,0.000179495
3.5392e-05,0.000184201
3.472e-05,0.000187767
3.4816e-05,0.000187249
3.5392e-05,0.000184201
3.5968e-05,0.000181252
3.4656e-05,0.000188113
3.936e-05,0.000165632
3.5776e-05,0.000182224
3.2832e-05,0.000198564
3.4656e-05,0.000188113
3.616e-05,0.000180289
3.424e-05,0.000190399
4.0064e-05,0.000162721
3.8112e-05,0.000171055
3.7216e-05,0.000175174
3.6448e-05,0.000178865
3.6672e-05,0.000177772
3.5008e-05,0.000186222
3.8912e-05,0.000167538
4.0192e-05,0.000162203
4.0192e-05,0.000162203
3.6416e-05,0.000179022
3.5872e-05,0.000181737
4.1152e-05,0.000158419
3.856e-05,0.000169068
3.6064e-05,0.000180769
3.568e-05,0.000182715
3.408e-05,0.000191293
3.696e-05,0.000176387
3.5104e-05,0.000185713
3.968e-05,0.000164296
3.6576e-05,0.000178239
3.4848e-05,0.000187077
3.8208e-05,0.000170625
3.7888e-05,0.000172067
3.7664e-05,0.00017309
3.4176e-05,0.000190755
3.6128e-05,0.000180449
3.7056e-05,0.00017593
3.552e-05,0.000183538
3.584e-05,0.000181899
3.6672e-05,0.000177772
3.584e-05,0.000181899
3.632e-05,0.000179495
3.6096e-05,0.000180609
3.4688e-05,0.00018794
3.6992e-05,0.000176234
3.4368e-05,0.00018969
3.5712e-05,0.000182551
3.568e-05,0.000182715
3.4048e-05,0.000191473
3.7632e-05,0.000173237
5.6992e-05,0.000114389
3.5232e-05,0.000185038
3.568e-05,0.000182715
3.5488e-05,0.000183703
3.6128e-05,0.000180449
3.6896e-05,0.000176693
3.8272e-05,0.00017034
3.9712e-05,0.000164163
3.6032e-05,0.00018093
3.5744e-05,0.000182387
3.728e-05,0.000174873
3.952e-05,0.000164961
3.5328e-05,0.000184535
3.6928e-05,0.00017654
4.08e-05,0.000159786
8.7232e-05,7.4735e-05
8.8384e-05,7.3761e-05
0.020033665,3.25e-07
5.2576e-05,0.000123997
4.5472e-05,0.000143369
3.8592e-05,0.000168928
4.2944e-05,0.000151808
3.8656e-05,0.000168648
3.7504e-05,0.000173828
3.7792e-05,0.000172504
4.24e-05,0.000153756
4.112e-05,0.000158542
4.1248e-05,0.00015805
3.8688e-05,0.000168509
4.224e-05,0.000154338
3.9904e-05,0.000163374
4.0256e-05,0.000161945
3.7952e-05,0.000171776
3.76e-05,0.000173385
3.824e-05,0.000170483
3.664e-05,0.000177927
3.696e-05,0.000176387
4.0256e-05,0.000161945
3.84e-05,0.000169772
3.648e-05,0.000178708
