,0,1,2,3,4
App_id,0,0,0,0,0
Label,Avg-Duration,Min-Duration,Max-Duration,Median-Duration,MainRank-Duration
Unit,s,s,s,s,s
Convergence_goal,True,False,False,False,False
Converged,False,False,False,False,False
Converged_run,0,0,0,0,0
Run 1,1000,1000,1000,1000,1000
Run 2,1000,1000,1000,1000,1000
Run 3,1000,1000,1000,1000,1000
Run 4,1000,1000,1000,1000,1000
Run 5,1000,1000,1000,1000,1000
Run 6,1000,1000,1000,1000,1000
Run 7,1000,1000,1000,1000,1000
Run 8,1000,1000,1000,1000,1000
Run 9,1000,1000,1000,1000,1000
Run 10,1000,1000,1000,1000,1000
