0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
2.7836e-05,1.6895e-05,3.6095e-05,2.8623e-05,3.3919e-05
0.000154041,2.0928e-05,0.000287223,0.000153067,2.4096e-05
2.2847e-05,1.984e-05,2.6112e-05,2.2672e-05,2.1343e-05
2.6822e-05,2.2847e-05,3.0111e-05,2.6879e-05,2.7295e-05
2.2927e-05,2.0992e-05,2.512e-05,2.3007e-05,2.1311e-05
2.3003e-05,2.0991e-05,2.5151e-05,2.2943e-05,2.2496e-05
2.2995e-05,2.112e-05,2.5695e-05,2.2879e-05,2.1919e-05
2.4328e-05,1.9679e-05,0.000210938,2.2751e-05,2.3104e-05
2.5225e-05,1.6896e-05,2.8703e-05,2.5535e-05,2.8256e-05
2.3056e-05,2.0287e-05,2.5471e-05,2.3183e-05,2.3295e-05
2.6919e-05,2.3199e-05,3.0591e-05,2.7007e-05,2.6304e-05
2.2595e-05,2.0927e-05,2.4383e-05,2.264e-05,2.1279e-05
2.9975e-05,1.6799e-05,3.3311e-05,3.0559e-05,2.8927e-05
2.3217e-05,2.032e-05,2.6815e-05,2.3231e-05,2.5791e-05
2.187e-05,1.8944e-05,2.4671e-05,2.1999e-05,2.1344e-05
2.2674e-05,1.9903e-05,2.5087e-05,2.2671e-05,2.3807e-05
2.3244e-05,2.0607e-05,2.592e-05,2.3008e-05,2.4223e-05
2.6855e-05,2.4415e-05,3.0047e-05,2.6911e-05,2.9183e-05
2.3021e-05,2.0575e-05,2.6175e-05,2.2879e-05,2.2495e-05
2.2834e-05,2.0511e-05,2.6399e-05,2.2815e-05,2.3008e-05
2.3103e-05,2.0287e-05,2.6431e-05,2.2992e-05,2.2175e-05
2.2302e-05,1.7184e-05,2.6559e-05,2.2319e-05,2.3968e-05
2.2725e-05,1.8911e-05,2.5951e-05,2.2831e-05,2.1535e-05
2.2693e-05,2.0543e-05,2.4928e-05,2.2576e-05,2.3647e-05
2.6665e-05,2.2943e-05,2.8895e-05,2.6719e-05,2.5055e-05
2.3008e-05,2.1023e-05,2.5279e-05,2.3039e-05,2.1855e-05
2.2656e-05,2.0255e-05,2.5023e-05,2.2592e-05,2.2495e-05
2.26e-05,2.0768e-05,2.4575e-05,2.2592e-05,2.2175e-05
2.2386e-05,1.8591e-05,2.6592e-05,2.2351e-05,2.2624e-05
2.3106e-05,1.9999e-05,2.6528e-05,2.3344e-05,2.1183e-05
2.483e-05,2.0191e-05,3.2863e-05,2.3791e-05,2.8928e-05
2.6587e-05,2.2207e-05,2.9791e-05,2.6591e-05,2.7359e-05
2.3098e-05,2.0671e-05,2.4832e-05,2.3167e-05,2.3552e-05
2.2812e-05,2.0927e-05,2.5023e-05,2.2751e-05,2.1823e-05
2.2774e-05,2.0576e-05,2.4703e-05,2.2863e-05,2.1535e-05
2.2353e-05,1.9807e-05,2.4671e-05,2.24e-05,2.1279e-05
2.2663e-05,1.9423e-05,2.5152e-05,2.2671e-05,2.0127e-05
2.2884e-05,1.9936e-05,2.5407e-05,2.2991e-05,2.3615e-05
2.6599e-05,2.3263e-05,2.9151e-05,2.6639e-05,2.7775e-05
