app_mix,system,numnodes,allocation_mode,allocation_split,ppn,out_format,extra,path
./apps_mix/pingpong/1B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_08:56:16
./apps_mix/pingpong/1B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_08:57:16
./apps_mix/pingpong/8B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_08:57:35
./apps_mix/pingpong/64B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_08:57:53
./apps_mix/pingpong/512B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_08:58:11
./apps_mix/pingpong/4KiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_08:58:29
./apps_mix/pingpong/32KiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_08:58:47
./apps_mix/pingpong/256KiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_08:59:05
./apps_mix/pingpong/2MiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_08:59:24
./apps_mix/pingpong/16MiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_08:59:42
./apps_mix/pingpong/128MiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:00:03
./apps_mix/pingpong/1GiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:00:44
./apps_mix/a2a_b/1B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:04:11
./apps_mix/a2a_b/4B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:04:29
./apps_mix/a2a_b/8B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:04:47
./apps_mix/a2a_b/64B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:05:05
./apps_mix/a2a_b/512B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:05:23
./apps_mix/a2a_b/4KiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:05:41
./apps_mix/a2a_b/32KiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:05:59
./apps_mix/a2a_b/256KiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:06:18
./apps_mix/a2a_b/2MiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:06:36
./apps_mix/a2a_b/16MiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:06:54
./apps_mix/a2a_b/128MiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:07:15
./apps_mix/a2a_b/1GiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:08:06
./apps_mix/a2a_b/8GiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_09:08:23
./apps_mix/a2a_b/1B,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_09:08:42
./apps_mix/a2a_b/4B,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_09:18:43
./apps_mix/a2a_b/8B,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_09:28:44
./apps_mix/a2a_b/64B,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_09:38:45
./apps_mix/a2a_b/512B,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_09:48:47
./apps_mix/a2a_b/4KiB,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_09:58:48
./apps_mix/a2a_b/32KiB,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_10:04:20
./apps_mix/a2a_b/256KiB,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_10:04:21
./apps_mix/a2a_b/2MiB,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_10:04:22
./apps_mix/a2a_b/16MiB,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_10:04:23
./apps_mix/a2a_b/128MiB,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_10:04:24
./apps_mix/a2a_b/1GiB,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_10:04:25
./apps_mix/a2a_b/8GiB,haicgu,2,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_10:04:26
./apps_mix/a2a_b/1B,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:04:29
./apps_mix/a2a_b/4B,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:04:57
./apps_mix/a2a_b/8B,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:05:24
./apps_mix/a2a_b/64B,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:05:51
./apps_mix/a2a_b/512B,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:06:18
./apps_mix/a2a_b/4KiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:06:46
./apps_mix/a2a_b/32KiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:07:13
./apps_mix/a2a_b/256KiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:07:41
./apps_mix/a2a_b/2MiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:08:09
./apps_mix/a2a_b/16MiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:08:37
./apps_mix/a2a_b/128MiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:09:11
./apps_mix/a2a_b/1GiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:10:41
./apps_mix/a2a_b/8GiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_10:11:13
./apps_mix/a2a_b/1B,haicgu,4,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_10:11:41
./apps_mix/a2a_b/4B,haicgu,4,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_10:21:42
./apps_mix/a2a_b/8B,haicgu,4,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_10:31:43
./apps_mix/a2a_b/64B,haicgu,4,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_10:41:44
./apps_mix/a2a_b/512B,haicgu,4,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_10:51:45
./apps_mix/a2a_b/4KiB,haicgu,4,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_11:01:47
./apps_mix/a2a_b/1B,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:04:39
./apps_mix/a2a_b/4B,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:05:06
./apps_mix/a2a_b/8B,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:05:34
./apps_mix/a2a_b/64B,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:06:02
./apps_mix/a2a_b/512B,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:06:29
./apps_mix/a2a_b/4KiB,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:06:57
./apps_mix/a2a_b/32KiB,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:07:24
./apps_mix/a2a_b/256KiB,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:07:52
./apps_mix/a2a_b/2MiB,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:08:21
./apps_mix/a2a_b/16MiB,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:08:50
./apps_mix/a2a_b/128MiB,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:09:33
./apps_mix/a2a_b/1GiB,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:13:26
./apps_mix/a2a_b/8GiB,haicgu,8,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_11:13:58
./apps_mix/a2a_b/1B,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_11:14:26
./apps_mix/a2a_b/4B,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_11:24:27
./apps_mix/a2a_b/8B,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_11:34:28
./apps_mix/a2a_b/64B,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_11:44:29
./apps_mix/a2a_b/512B,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_11:54:30
./apps_mix/a2a_b/4KiB,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:04:32
./apps_mix/a2a_b/32KiB,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:04:37
./apps_mix/a2a_b/256KiB,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:04:38
./apps_mix/a2a_b/2MiB,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:04:39
./apps_mix/a2a_b/16MiB,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:04:40
./apps_mix/a2a_b/128MiB,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:04:41
./apps_mix/a2a_b/1GiB,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:04:42
./apps_mix/a2a_b/8GiB,haicgu,8,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:04:43
./apps_mix/a2a_b/1B,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:04:46
./apps_mix/a2a_b/4B,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:05:14
./apps_mix/a2a_b/8B,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:05:43
./apps_mix/a2a_b/64B,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:06:11
./apps_mix/a2a_b/512B,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:06:39
./apps_mix/a2a_b/4KiB,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:07:07
./apps_mix/a2a_b/32KiB,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:07:35
./apps_mix/a2a_b/256KiB,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:08:03
./apps_mix/a2a_b/2MiB,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:08:33
./apps_mix/a2a_b/16MiB,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:09:03
./apps_mix/a2a_b/128MiB,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:09:50
./apps_mix/a2a_b/1GiB,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:14:15
./apps_mix/a2a_b/8GiB,haicgu,10,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_12:14:41
./apps_mix/a2a_b/1B,haicgu,10,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:15:10
./apps_mix/a2a_b/4B,haicgu,10,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:25:11
./apps_mix/a2a_b/8B,haicgu,10,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:35:12
./apps_mix/a2a_b/64B,haicgu,10,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:45:13
./apps_mix/a2a_b/512B,haicgu,10,l,100,128,csv,cn-eth,./data/haicgu/2024-07-30_12:55:14
./apps_mix/ardc_b/4B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:05:09
./apps_mix/ardc_b/8B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:05:36
./apps_mix/ardc_b/64B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:06:04
./apps_mix/ardc_b/512B,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:06:31
./apps_mix/ardc_b/4KiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:06:59
./apps_mix/ardc_b/32KiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:07:26
./apps_mix/ardc_b/256KiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:07:54
./apps_mix/ardc_b/2MiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:08:22
./apps_mix/ardc_b/16MiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:08:50
./apps_mix/ardc_b/128MiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:09:23
./apps_mix/ardc_b/1GiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:10:47
./apps_mix/ardc_b/8GiB,haicgu,2,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:18:20
./apps_mix/ardc_b/4B,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:18:49
./apps_mix/ardc_b/8B,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:19:17
./apps_mix/ardc_b/64B,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:19:44
./apps_mix/ardc_b/512B,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:20:11
./apps_mix/ardc_b/4KiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:20:38
./apps_mix/ardc_b/32KiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:21:06
./apps_mix/ardc_b/256KiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:21:33
./apps_mix/ardc_b/2MiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:22:02
./apps_mix/ardc_b/16MiB,haicgu,4,l,100,1,csv,cn-eth,./data/haicgu/2024-07-30_13:22:30
