0_MainRank-Duration_s,0_MainRank-Bandwidth_Gb/s
1.34e-06,0.382089555
1.335e-06,0.383520603
1.415e-06,0.361837447
1.39e-06,0.36834532
1.385e-06,0.3696751
1.325e-06,0.386415094
1.495e-06,0.342474908
1.575e-06,0.325079352
1.53e-06,0.334640533
1.275e-06,0.401568621
1.29e-06,0.396899223
1.275e-06,0.401568621
1.27e-06,0.403149605
1.29e-06,0.396899223
1.445e-06,0.354325265
1.41e-06,0.363120586
1.325e-06,0.386415094
1.4e-06,0.365714282
1.375e-06,0.372363627
1.425e-06,0.359298229
1.295e-06,0.395366818
1.24e-06,0.412903249
1.255e-06,0.407968104
1.35e-06,0.379259259
1.455e-06,0.351890057
1.325e-06,0.386415094
1.21e-06,0.423140466
1.425e-06,0.359298229
1.32e-06,0.387878776
1.365e-06,0.375091583
1.34e-06,0.382089555
1.395e-06,0.367025077
1.34e-06,0.382089555
1.3e-06,0.393846154
1.275e-06,0.401568621
1.295e-06,0.395366818
1.325e-06,0.386415094
1.265e-06,0.404743075
1.42e-06,0.360436469
1.335e-06,0.383520603
1.35e-06,0.379259259
1.26e-06,0.406349212
1.26e-06,0.406349212
1.285e-06,0.39844355
1.355e-06,0.377859771
1.295e-06,0.395366818
1.255e-06,0.407968104
1.26e-06,0.406349212
1.255e-06,0.407968104
1.315e-06,0.389353633
1.255e-06,0.407968104
1.445e-06,0.354325265
1.425e-06,0.359298229
1.305e-06,0.392337173
1.25e-06,0.409600019
1.36e-06,0.376470566
1.29e-06,0.396899223
1.32e-06,0.387878776
1.26e-06,0.406349212
1.245e-06,0.411244959
1.25e-06,0.409600019
1.27e-06,0.403149605
1.355e-06,0.377859771
1.375e-06,0.372363627
1.31e-06,0.390839696
1.32e-06,0.387878776
1.445e-06,0.354325265
1.26e-06,0.406349212
1.255e-06,0.407968104
1.275e-06,0.401568621
1.29e-06,0.396899223
1.435e-06,0.356794447
1.305e-06,0.392337173
1.355e-06,0.377859771
1.265e-06,0.404743075
1.285e-06,0.39844355
1.25e-06,0.409600019
1.28e-06,0.400000006
1.325e-06,0.386415094
1.27e-06,0.403149605
1.22e-06,0.419672161
1.285e-06,0.39844355
1.295e-06,0.395366818
1.49e-06,0.343624145
1.265e-06,0.404743075
1.25e-06,0.409600019
1.255e-06,0.407968104
1.3e-06,0.393846154
1.32e-06,0.387878776
1.26e-06,0.406349212
1.355e-06,0.377859771
1.49e-06,0.343624145
1.28e-06,0.400000006
1.53e-06,0.334640533
1.325e-06,0.386415094
1.335e-06,0.383520603
1.335e-06,0.383520603
1.28e-06,0.400000006
1.48e-06,0.345945925
1.345e-06,0.380669147
1.28e-06,0.400000006
1.285e-06,0.39844355
1.295e-06,0.395366818
1.29e-06,0.396899223
1.31e-06,0.390839696
1.39e-06,0.36834532
1.27e-06,0.402990967
1.285e-06,0.39844355
1.29e-06,0.396899223
1.305e-06,0.392337173
1.305e-06,0.392337173
1.385e-06,0.3696751
1.28e-06,0.400000006
1.34e-06,0.382089555
1.305e-06,0.392337173
1.28e-06,0.400000006
1.255e-06,0.407968104
1.32e-06,0.387878776
1.41e-06,0.363120586
1.335e-06,0.383520603
1.32e-06,0.387878776
1.51e-06,0.339072853
1.385e-06,0.3696751
1.305e-06,0.392337173
1.33e-06,0.38496241
1.365e-06,0.375091583
