0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
0.001495677,0.001421332,0.001604912,0.001428512,0.001602109
0.001486347,0.001411531,0.001594631,0.001419613,0.001592429
0.001514762,0.001438476,0.001625612,0.001448694,0.00162139
0.001478661,0.001403715,0.001589571,0.001410483,0.001584059
0.001448373,0.00137387,0.001557851,0.001380087,0.001553559
0.001483509,0.001409606,0.001593231,0.001417718,0.00158744
0.001481005,0.001406786,0.001591381,0.001413408,0.001586329
0.001482688,0.001408281,0.001592632,0.001416477,0.001588829
0.001485069,0.001409085,0.001595701,0.001418048,0.00158949
0.001553836,0.001479027,0.001665342,0.001486438,0.00165843
0.001523473,0.001448382,0.001634811,0.001455583,0.00162873
0.001443888,0.00136992,0.001553411,0.001376448,0.001547739
0.00149568,0.001418192,0.001606092,0.001428102,0.001602779
0.001477189,0.00140316,0.001585741,0.001411512,0.001582249
0.001519504,0.001444987,0.001630161,0.001452143,0.001624299
0.001472479,0.001398056,0.001583272,0.001405107,0.0015773
0.00144957,0.001376211,0.001557841,0.001381677,0.001554238
0.001476077,0.001402486,0.001585001,0.001408783,0.001580829
0.00149066,0.001416465,0.001601271,0.001422938,0.001595769
0.001519345,0.001446842,0.001628962,0.001450974,0.00162368
0.001474875,0.001400001,0.001585691,0.001408038,0.001579529
0.001538902,0.001464902,0.001649732,0.001471778,0.00164354
0.00160256,0.001528318,0.001712692,0.00153505,0.001706821
0.001477739,0.001404672,0.001587851,0.001409278,0.001582069
0.001517677,0.001443317,0.001628471,0.001449884,0.0016232
0.001455605,0.00138183,0.001566222,0.001387668,0.001560449
0.001517998,0.001443072,0.001628871,0.001450513,0.00162366
0.001496658,0.001422716,0.001607721,0.001429007,0.001601789
0.001522252,0.001448146,0.001632372,0.001454873,0.001627259
0.00148906,0.001414371,0.001599611,0.001422243,0.00159338
0.001510305,0.001435346,0.001621542,0.001442628,0.001614209
0.001520912,0.001447166,0.001630611,0.001452158,0.0016251
0.001486958,0.001411841,0.001597252,0.001419688,0.00159321
0.001475795,0.001401905,0.001587621,0.001407818,0.001580129
0.001599741,0.001524988,0.001710052,0.001532238,0.001704101
0.001531392,0.001457792,0.001641732,0.001463808,0.00163578
0.001533663,0.001460567,0.001641411,0.001467073,0.00163613
0.001480188,0.001405531,0.001590401,0.001412522,0.001586359
0.001492692,0.001420151,0.001601242,0.001424917,0.001597359
0.001487698,0.001412832,0.001602751,0.001420588,0.00159185
0.001476309,0.001402636,0.001586021,0.001409478,0.001579409
0.001477442,0.001402931,0.001588022,0.001409953,0.001582229
0.001478528,0.001404462,0.001587501,0.001410878,0.00158296
0.001472785,0.001398881,0.001582151,0.001405508,0.001579079
0.001491338,0.001417251,0.001600701,0.001424378,0.001595899
0.001499351,0.001425202,0.001610382,0.001431793,0.00160415
0.001491373,0.001416831,0.001601941,0.001423933,0.001596379
0.001514496,0.001440761,0.001624541,0.001446778,0.00161849
0.001482533,0.001408246,0.001592601,0.001414723,0.001586889
0.001513562,0.001438446,0.001622901,0.001444949,0.00162163
0.001515114,0.001440446,0.001624552,0.001448593,0.00162009
