0_time-oop_us,0_algbw-oop_GB/s,0_busbw-oop_GB/s,0_time-ip_us,0_algbw-ip_GB/s,0_busbw-ip_GB/s
78.21,3.35,5.87,55.8,4.7,8.22
67.9,3.86,6.76,57.23,4.58,8.02
56.76,4.62,8.08,58.81,4.46,7.8
55.99,4.68,8.19,75.88,3.45,6.05
56.63,4.63,8.1,55.86,4.69,8.21
55.34,4.74,8.29,57.26,4.58,8.01
56.15,4.67,8.17,58.33,4.49,7.86
55.75,4.7,8.23,57.12,4.59,8.03
90.52,2.9,5.07,125.7,2.09,3.65
56.71,4.62,8.09,66.11,3.97,6.94
72.06,3.64,6.37,56.17,4.67,8.17
55.99,4.68,8.19,55.44,4.73,8.27
65.92,3.98,6.96,56.61,4.63,8.1
56.25,4.66,8.16,70.46,3.72,6.51
56.02,4.68,8.19,55.63,4.71,8.25
56.33,4.65,8.14,55.43,4.73,8.28
55.54,4.72,8.26,54.75,4.79,8.38
71.42,3.67,6.42,58.36,4.49,7.86
129.2,2.03,3.55,72.75,3.6,6.31
65.75,3.99,6.98,55.29,4.74,8.3
56.06,4.68,8.18,57.55,4.55,7.97
