0_Transfer Time (s)_s,0_Bandwidth (GB/s)_GB/s
0.179391488,5.574400484
0.17869927,5.595993764
0.178680837,5.596571048
0.179116026,5.582973365
0.178950146,5.588148561
0.179005444,5.586422275
0.178853884,5.591156176
0.178842619,5.591508362
0.178932741,5.588692113
0.178718716,5.595384876
0.178704396,5.595833248
0.179519489,5.570425826
0.178868219,5.590708088
0.17909351,5.583675257
0.178706437,5.595769323
0.178685963,5.596410498
0.178683892,5.59647537
0.178720757,5.595320962
0.179249153,5.578826933
0.179286018,5.577679794
0.179710984,5.564490141
0.178703353,5.59586591
0.178676739,5.596699401
0.178708479,5.595705401
0.17951642,5.570521077
0.178651139,5.597501392
0.179057658,5.58479326
0.179936245,5.557523997
0.178628594,5.598207876
0.179068923,5.584441919
0.178708479,5.595705401
0.179101706,5.58341975
0.178789377,5.593173462
0.178891763,5.589972298
0.178689033,5.596314359
0.178828299,5.591956113
0.178949133,5.588180203
0.179019779,5.585974945
0.179201022,5.580325324
0.179504141,5.570902115
0.178912267,5.589331667
0.178722814,5.595256583
0.178771973,5.593717992
0.178734079,5.594903924
0.17891328,5.589300011
0.178850815,5.591252138
0.179590151,5.568234093
0.179446772,5.572683143
0.178729981,5.595032201
0.179043338,5.585239936
0.178712577,5.595577093
0.179274753,5.578030284
0.178691074,5.596250424
0.178866178,5.590771896
0.179424256,5.57338245
0.179113984,5.583036997
0.179131389,5.582494545
0.178677768,5.596667195
0.179040253,5.58533616
0.179229692,5.579432687
0.179275766,5.577998757
0.179144695,5.582079881
0.179103747,5.583356109
0.178732023,5.594968295
0.179212302,5.579974081
0.178702325,5.595898106
0.179094523,5.583643666
0.179030016,5.585655534
0.178729981,5.595032201
0.179185674,5.580803308
0.178953215,5.588052706
0.179010555,5.586262772
0.178694144,5.59615429
0.178780168,5.593461565
0.178937852,5.58853248
0.178674683,5.596763813
0.178701311,5.595929836
0.178878456,5.590388135
0.179103747,5.583356109
0.17868492,5.596443167
0.17925325,5.578699399
0.178741246,5.594679571
0.178828299,5.591956113
0.179008514,5.586326479
0.178910196,5.589396375
0.179548159,5.569536353
0.178712577,5.595577093
0.178795516,5.59298141
0.178697214,5.59605816
0.178818047,5.592276711
0.178720757,5.595320962
0.179782659,5.562271726
0.178841606,5.591540043
0.179105788,5.583292469
0.178765818,5.593910561
0.179077119,5.584186342
0.178993151,5.586805957
0.178935811,5.588596239
0.17883648,5.591700313
0.179492861,5.571252217
0.17881088,5.592500872
0.178809866,5.592532563
