,0,1,2,3,4,5
App_id,0,0,0,0,0,0
Label,time-oop,algbw-oop,busbw-oop,time-ip,algbw-ip,busbw-ip
Unit,us,GB/s,GB/s,us,GB/s,GB/s
Convergence_goal,True,False,False,True,False,False
Converged,True,False,False,False,False,False
Converged_run,3,0,0,0,0,0
Run 1,1,1,1,1,1,1
Run 2,1,1,1,1,1,1
Run 3,1,1,1,1,1,1
Run 4,1,1,1,1,1,1
Run 5,1,1,1,1,1,1
Run 6,1,1,1,1,1,1
Run 7,1,1,1,1,1,1
Run 8,1,1,1,1,1,1
Run 9,1,1,1,1,1,1
Run 10,1,1,1,1,1,1
Run 11,1,1,1,1,1,1
Run 12,1,1,1,1,1,1
Run 13,1,1,1,1,1,1
Run 14,1,1,1,1,1,1
Run 15,1,1,1,1,1,1
Run 16,1,1,1,1,1,1
Run 17,1,1,1,1,1,1
Run 18,1,1,1,1,1,1
Run 19,1,1,1,1,1,1
Run 20,1,1,1,1,1,1
Run 21,1,1,1,1,1,1
Run 22,1,1,1,1,1,1
Run 23,1,1,1,1,1,1
Run 24,1,1,1,1,1,1
Run 25,1,1,1,1,1,1
Run 26,1,1,1,1,1,1
Run 27,1,1,1,1,1,1
Run 28,1,1,1,1,1,1
Run 29,1,1,1,1,1,1
Run 30,1,1,1,1,1,1
Run 31,1,1,1,1,1,1
Run 32,1,1,1,1,1,1
Run 33,1,1,1,1,1,1
Run 34,1,1,1,1,1,1
Run 35,1,1,1,1,1,1
Run 36,1,1,1,1,1,1
Run 37,1,1,1,1,1,1
Run 38,1,1,1,1,1,1
Run 39,1,1,1,1,1,1
Run 40,1,1,1,1,1,1
Run 41,1,1,1,1,1,1
Run 42,1,1,1,1,1,1
Run 43,1,1,1,1,1,1
Run 44,1,1,1,1,1,1
Run 45,1,1,1,1,1,1
Run 46,1,1,1,1,1,1
Run 47,1,1,1,1,1,1
Run 48,1,1,1,1,1,1
Run 49,1,1,1,1,1,1
Run 50,1,1,1,1,1,1
Run 51,1,1,1,1,1,1
Run 52,1,1,1,1,1,1
Run 53,1,1,1,1,1,1
Run 54,1,1,1,1,1,1
Run 55,1,1,1,1,1,1
Run 56,1,1,1,1,1,1
Run 57,1,1,1,1,1,1
Run 58,1,1,1,1,1,1
Run 59,1,1,1,1,1,1
Run 60,1,1,1,1,1,1
Run 61,1,1,1,1,1,1
Run 62,1,1,1,1,1,1
Run 63,1,1,1,1,1,1
Run 64,1,1,1,1,1,1
Run 65,1,1,1,1,1,1
Run 66,1,1,1,1,1,1
Run 67,1,1,1,1,1,1
Run 68,1,1,1,1,1,1
Run 69,1,1,1,1,1,1
Run 70,1,1,1,1,1,1
Run 71,1,1,1,1,1,1
Run 72,1,1,1,1,1,1
Run 73,1,1,1,1,1,1
Run 74,1,1,1,1,1,1
Run 75,1,1,1,1,1,1
Run 76,1,1,1,1,1,1
Run 77,1,1,1,1,1,1
Run 78,1,1,1,1,1,1
Run 79,1,1,1,1,1,1
Run 80,1,1,1,1,1,1
Run 81,1,1,1,1,1,1
Run 82,1,1,1,1,1,1
Run 83,1,1,1,1,1,1
Run 84,1,1,1,1,1,1
Run 85,1,1,1,1,1,1
Run 86,1,1,1,1,1,1
Run 87,1,1,1,1,1,1
Run 88,1,1,1,1,1,1
Run 89,1,1,1,1,1,1
Run 90,1,1,1,1,1,1
Run 91,1,1,1,1,1,1
Run 92,1,1,1,1,1,1
Run 93,1,1,1,1,1,1
Run 94,1,1,1,1,1,1
Run 95,1,1,1,1,1,1
Run 96,1,1,1,1,1,1
Run 97,1,1,1,1,1,1
Run 98,1,1,1,1,1,1
Run 99,1,1,1,1,1,1
Run 100,1,1,1,1,1,1
