1_BW_peak_gbit/s,1_BW_average_gbit/s,1_MsgRate_mpp/s
295.74,394.65,0.7527269999999999
231.57,312.14000000000004,0.595347
91.9,266.32,0.5079480000000001
246.17000000000002,266.45,0.508223
295.89,394.1,0.751684
245.26,263.89,0.503335
197.26,395.08000000000004,0.753538
295.91,394.8,0.7530319999999999
365.78000000000003,365.77000000000004,0.697658
394.56,394.53999999999996,0.752531
83.03,279.8,0.533694
244.55,319.66,0.6096980000000001
268.62,234.08999999999997,0.44649099999999997
229.26,155.22,0.296076
295.93,394.67999999999995,0.752775
288.63,385.67999999999995,0.7356320000000001
195.56,340.71000000000004,0.64986
197.25,395.09000000000003,0.7535590000000001
295.87,394.76,0.752939
394.40999999999997,385.77,0.735805
197.3,395.11,0.753611
295.93,394.78,0.752968
0.0,395.74,0.754813
244.09,329.59000000000003,0.628646
295.7,372.84999999999997,0.711143
286.0,323.65999999999997,0.6173430000000001
269.39,335.36,0.639642
258.65999999999997,261.3,0.4984059999999999
338.95000000000005,235.26,0.44870999999999994
197.28,395.09000000000003,0.7535689999999999
295.93,394.81999999999994,0.753048
295.45000000000005,380.25,0.725249
377.81,372.8,0.7110669999999999
295.03,390.96999999999997,0.745724
369.44,360.62,0.68782
271.21999999999997,359.14,0.685009
289.99,366.26,0.698588
333.78999999999996,330.47,0.6303129999999999
295.6,328.88,0.627277
197.25,395.04,0.753489
394.55999999999995,394.53,0.752509
266.84000000000003,146.2,0.278854
282.84999999999997,349.07000000000005,0.665797
273.29999999999995,358.85,0.6844380000000001
386.85,386.53,0.737271
92.47,343.14,0.654489
197.29,394.76,0.752953
0.0,331.59,0.6324709999999999
256.34000000000003,243.48000000000002,0.46439700000000006
197.3,394.33,0.752127
96.58,385.67,0.735626
191.52,330.09000000000003,0.629586
294.47,393.15,0.74986
295.95000000000005,394.84,0.753117
196.7,375.65000000000003,0.716499
197.28,360.62,0.687825
295.94,394.84,0.753082
294.43,376.49,0.718104
264.13,191.88000000000002,0.365974
197.11,394.37,0.752195
261.15,354.3,0.6757780000000001
197.28,378.9,0.722688
295.92,394.76,0.75296
0.0,333.35,0.635823
93.58,331.99,0.6332340000000001
394.13,385.27,0.734846
240.70999999999998,237.31,0.45260500000000004
295.37,389.84999999999997,0.7435869999999999
181.89,265.40999999999997,0.5062169999999999
295.79999999999995,394.67,0.752787
197.3,395.04,0.7534810000000001
99.19999999999999,95.2,0.181589
197.32,395.13,0.75365
197.2,395.01,0.753417
295.77,390.2,0.744253
191.37,247.97,0.472967
357.07000000000005,185.62999999999997,0.354053
295.86,394.76,0.7529509999999999
289.85,384.03,0.732496
391.59999999999997,389.84,0.743565
358.88,346.8,0.661455
250.85,344.48,0.657056
282.40999999999997,320.20000000000005,0.610727
295.83000000000004,392.24,0.748148
192.41000000000003,371.81000000000006,0.709182
89.79,337.56,0.6438360000000001
295.93,394.84,0.753094
283.14,367.97,0.701857
177.12,321.26,0.612747
217.31,302.93,0.577803
295.90999999999997,394.73999999999995,0.752918
196.44,359.17,0.685071
248.76999999999998,300.64,0.573417
197.28,395.1,0.7535990000000001
295.92,394.76,0.75294
295.83000000000004,394.71000000000004,0.75286
165.72,309.09,0.589552
295.94,394.85,0.7531059999999999
314.31,249.2,0.475305
295.79,392.77,0.749142
