0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
1.322e-06,1.224e-06,1.419e-06,1.322e-06,1.419e-06
1.238e-06,1.166e-06,1.311e-06,1.238e-06,1.166e-06
1.232e-06,1.097e-06,1.368e-06,1.232e-06,1.097e-06
1.224e-06,1.066e-06,1.382e-06,1.224e-06,1.066e-06
1.236e-06,1.02e-06,1.451e-06,1.236e-06,1.02e-06
1.214e-06,8.8e-07,1.548e-06,1.214e-06,8.8e-07
1.234e-06,8.39e-07,1.629e-06,1.234e-06,8.39e-07
1.33e-06,9.23e-07,1.737e-06,1.33e-06,9.23e-07
1.261e-06,7.27e-07,1.795e-06,1.261e-06,7.27e-07
1.211e-06,5.71e-07,1.852e-06,1.211e-06,5.71e-07
1.225e-06,5.43e-07,1.907e-06,1.225e-06,5.43e-07
1.214e-06,4.84e-07,1.944e-06,1.214e-06,4.84e-07
1.208e-06,5.9e-07,1.825e-06,1.208e-06,5.9e-07
1.229e-06,5.32e-07,1.927e-06,1.229e-06,5.32e-07
1.219e-06,5e-07,1.939e-06,1.219e-06,5e-07
1.212e-06,4.96e-07,1.927e-06,1.212e-06,4.96e-07
1.267e-06,5.04e-07,2.03e-06,1.267e-06,5.04e-07
1.231e-06,5.41e-07,1.921e-06,1.231e-06,5.41e-07
1.228e-06,5.28e-07,1.929e-06,1.228e-06,5.28e-07
1.217e-06,5.15e-07,1.919e-06,1.217e-06,5.15e-07
1.235e-06,5.28e-07,1.941e-06,1.235e-06,5.28e-07
1.239e-06,5.03e-07,1.975e-06,1.239e-06,5.03e-07
1.22e-06,5.12e-07,1.927e-06,1.22e-06,5.12e-07
1.213e-06,4.89e-07,1.936e-06,1.213e-06,4.89e-07
1.521e-06,4.69e-07,2.572e-06,1.521e-06,4.69e-07
1.253e-06,5.08e-07,1.997e-06,1.253e-06,5.08e-07
1.233e-06,5.22e-07,1.944e-06,1.233e-06,5.22e-07
1.233e-06,5.02e-07,1.963e-06,1.233e-06,5.02e-07
1.22e-06,5.22e-07,1.919e-06,1.22e-06,5.22e-07
1.236e-06,5.03e-07,1.968e-06,1.236e-06,5.03e-07
1.229e-06,5e-07,1.957e-06,1.229e-06,5e-07
1.22e-06,4.99e-07,1.94e-06,1.22e-06,4.99e-07
1.316e-06,5.45e-07,2.088e-06,1.316e-06,5.45e-07
1.238e-06,5.09e-07,1.966e-06,1.238e-06,5.09e-07
1.224e-06,5.33e-07,1.915e-06,1.224e-06,5.33e-07
1.229e-06,5.41e-07,1.916e-06,1.229e-06,5.41e-07
1.221e-06,5.01e-07,1.941e-06,1.221e-06,5.01e-07
1.237e-06,5.27e-07,1.948e-06,1.237e-06,5.27e-07
1.209e-06,5.1e-07,1.907e-06,1.209e-06,5.1e-07
1.218e-06,5.17e-07,1.919e-06,1.218e-06,5.17e-07
1.261e-06,4.87e-07,2.034e-06,1.261e-06,4.87e-07
1.227e-06,5.1e-07,1.944e-06,1.227e-06,5.1e-07
1.237e-06,5.14e-07,1.96e-06,1.237e-06,5.14e-07
1.215e-06,5.06e-07,1.924e-06,1.215e-06,5.06e-07
1.206e-06,5.07e-07,1.906e-06,1.206e-06,5.07e-07
1.21e-06,5.17e-07,1.903e-06,1.21e-06,5.17e-07
1.224e-06,5.21e-07,1.926e-06,1.224e-06,5.21e-07
1.305e-06,6.21e-07,1.99e-06,1.305e-06,6.21e-07
1.267e-06,4.97e-07,2.038e-06,1.267e-06,4.97e-07
1.219e-06,4.67e-07,1.971e-06,1.219e-06,4.67e-07
1.237e-06,5.06e-07,1.967e-06,1.237e-06,5.06e-07
1.213e-06,5.02e-07,1.925e-06,1.213e-06,5.02e-07
1.209e-06,4.93e-07,1.924e-06,1.209e-06,4.93e-07
1.224e-06,5.04e-07,1.943e-06,1.224e-06,5.04e-07
1.269e-06,6.04e-07,1.934e-06,1.269e-06,6.04e-07
1.22e-06,5e-07,1.94e-06,1.22e-06,5e-07
