0_Transfer Time_s,0_Bandwidth_GB/s
0.059860993,33.345483328
0.059867132,33.342063803
0.059436031,33.583900657
0.059560958,33.513459271
0.05996237,33.289107262
0.059888642,33.330088544
0.060231682,33.14026251
0.05992448,33.310155786
0.060143616,33.188788455
0.059717633,33.425533723
0.05989683,33.325532159
0.059882496,33.333509761
0.06011904,33.202355522
0.06004224,33.244824962
0.059413504,33.596634106
0.059509762,33.542291135
0.059453443,33.574065009
0.059425794,33.589686052
0.059998207,33.269223476
0.060582913,32.948130687
0.060082175,33.222727962
0.06001357,33.260706764
0.059789311,33.38546158
0.060525566,32.979348575
0.059936769,33.303325706
0.059940863,33.301051015
0.059401214,33.603585036
0.059665408,33.454790932
0.060581885,32.948689874
0.059664384,33.45536536
0.059315201,33.652313739
0.059893761,33.327240139
0.059973631,33.282856397
0.059531264,33.530175838
0.059764735,33.399189951
0.059698176,33.436427975
0.059746303,33.409494161
0.059928577,33.307878091
0.060106751,33.209144244
0.060417023,33.038598487
0.059535358,33.527870053
0.059796479,33.381459858
0.059189249,33.723924352
0.060047358,33.241991111
0.060295168,33.10536824
0.059761666,33.40090549
0.059671551,33.451346863
0.059646975,33.465129483
0.06001357,33.260706764
0.059684865,33.443884712
0.060129281,33.196700715
0.059601922,33.490426094
0.060466174,33.011742215
0.060128257,33.197266315
0.060403712,33.045878818
0.059751421,33.406632168
0.060521472,32.981579528
0.060089342,33.218765154
0.060190719,33.16281639
0.059301887,33.659869202
0.060061697,33.234055188
0.060037121,33.247659296
0.060014591,33.260141065
0.060443651,33.024043373
0.060460035,33.015094318
0.059798528,33.380316091
0.059853826,33.349476429
0.059986942,33.275471287
0.060315646,33.094128551
0.059684865,33.443884712
0.060130302,33.196137191
0.05950259,33.546333613
0.060051456,33.239722728
0.059567105,33.510001018
0.060603395,32.93699547
0.060287997,33.109306083
0.060464125,33.012860863
0.059597824,33.492728824
0.059537407,33.526716231
0.060146686,33.187094636
0.059927553,33.308447486
0.060034048,33.249361366
0.05954048,33.524985647
0.060320765,33.091320332
0.059885565,33.331801138
0.059626494,33.476624725
0.059741184,33.412356644
0.059494399,33.550952681
0.059868161,33.341491184
0.05981696,33.370029868
0.059882496,33.333509761
0.059875328,33.337499995
0.059564032,33.511730055
0.059877377,33.336359238
0.059500545,33.547486685
0.059290621,33.666264611
0.059526142,33.533061137
0.059523072,33.534790457
0.059974656,33.282287877
0.059974656,33.282287877
