0_Transfer Time_s,0_Bandwidth_GB/s
0.011948824,0.633397849
0.015071665,0.50215815
0.015189515,0.498262068
0.034473903,0.219538799
0.013395479,0.564993563
0.032956745,0.229645229
0.015128635,0.500267171
0.034281962,0.220767979
0.01463147,0.517265833
0.015043674,0.503092486
0.015093723,0.501424282
0.015084717,0.501723643
0.015111395,0.500837897
0.034223814,0.221143075
0.033723056,0.224426852
0.014937466,0.506669563
0.014858907,0.509348321
0.013308128,0.568702013
0.013707702,0.55212459
0.014998364,0.504612319
0.033578072,0.22539589
0.014759406,0.512782128
0.053998962,0.140157497
0.015176547,0.498687843
0.014722153,0.514079671
0.015099313,0.501238654
0.011972889,0.632124726
0.015058885,0.502584302
0.015156603,0.499344026
0.034495663,0.219400317
0.01341307,0.564252591
0.034484114,0.219473792
0.014983502,0.505112841
0.034231473,0.221093595
0.014340595,0.527757683
0.036273587,0.208646563
0.015048743,0.502923019
0.034084812,0.222044922
0.014499309,0.521980711
0.034235969,0.221064557
0.014920721,0.507238186
0.034092989,0.221991666
0.013830468,0.547223662
0.013847875,0.546535779
0.034070872,0.222135771
0.015033519,0.503432325
0.015045905,0.503017873
0.015009828,0.504226925
0.034179065,0.221432602
0.015028349,0.503605507
0.036826037,0.205516532
0.034468099,0.219575767
0.014908599,0.507650619
0.015145082,0.499723895
0.01510499,0.501050259
0.015103033,0.501115204
0.034548569,0.219064334
0.014544844,0.520346559
0.034422066,0.219869411
0.015011214,0.504180376
0.034065112,0.222173327
0.032616425,0.23204135
0.014911069,0.507566532
0.033769131,0.224120646
0.014965759,0.505711708
0.015157196,0.499324513
0.014947312,0.506335815
0.014517715,0.521318904
0.013205019,0.573142642
0.014854961,0.509483622
0.015107418,0.500969734
0.01514403,0.499758622
0.013277546,0.57001193
0.013721806,0.551557089
0.015136776,0.499998093
0.034489557,0.219439158
0.014667719,0.515987492
0.014729801,0.51381275
0.034420706,0.219878096
0.014617446,0.517762093
0.033611506,0.225171682
0.015024227,0.503743675
0.015032601,0.503463078
0.01506175,0.502488711
0.012042178,0.628487594
0.026972132,0.280599228
0.015182798,0.498482525
0.015231601,0.49688535
0.015169838,0.498908401
0.015105624,0.501029252
0.012005973,0.630382859
0.01512371,0.500430077
0.015211978,0.497526316
0.034504142,0.219346403
0.013429233,0.56357347
0.032730542,0.231232326
0.015169729,0.498911985
0.014963239,0.50579685
0.014883914,0.508492548
0.013612053,0.55600424
0.015063071,0.502444656
0.015087665,0.501625622
0.034422744,0.21986508
0.014447547,0.523850804
0.015136474,0.500008091
0.034327559,0.220474731
0.014369789,0.526685506
0.034020942,0.222461784
0.015066938,0.502315675
0.033769667,0.224117085
0.01474619,0.513241681
0.01517611,0.498702196
0.015058395,0.502600683
0.01488068,0.508603075
0.01468661,0.515323793
0.053154539,0.142384065
0.014869675,0.508979474
0.034126706,0.221772335
0.015129425,0.500241057
0.015065356,0.502368434
0.014908845,0.507642247
0.033565324,0.225481495
0.014931449,0.506873747
0.034326036,0.220484517
0.013636912,0.554990694
0.03406778,0.222155932
0.01506164,0.502492377
0.014859054,0.509343277
0.015221402,0.497218282
0.011938272,0.633957691
0.015056008,0.502680366
0.015072759,0.502121692
0.034423456,0.219860535
0.014363743,0.526907171
0.015197594,0.497997217
0.034305297,0.220617808
0.014602925,0.518276957
0.033768378,0.22412564
0.015052198,0.502807605
0.015105829,0.501022457
0.015133995,0.50009
0.011954584,0.633092651
0.026918206,0.281161355
0.015044714,0.503057699
0.014789516,0.511738134
0.01512579,0.500361273
0.01197254,0.632143166
0.015060121,0.502543059
0.01512429,0.500410879
0.034499638,0.219375039
0.01346187,0.56220713
0.034424115,0.219856324
0.026497973,0.285620313
0.015033858,0.503420973
0.01518211,0.498505122
0.01506211,0.502476718
0.011976426,0.631938081
0.015085553,0.501695859
0.015176161,0.498700513
0.049602516,0.152580151
0.015193036,0.498146615
0.015201094,0.497882558
0.015173565,0.498785852
0.011923688,0.634733119
0.034039218,0.22234234
0.015124792,0.50039427
0.014863594,0.509187694
0.015182042,0.498507324
0.011924896,0.634668774
0.015091108,0.501511174
0.015170715,0.49887955
0.034527417,0.219198538
0.01336092,0.566454942
0.034510136,0.219308306
0.01514963,0.499573886
0.034170471,0.221488295
0.013924591,0.543524707
0.014417175,0.524954387
0.033748966,0.224254558
0.01492757,0.50700546
0.015119595,0.500566262
0.015060212,0.502540045
0.01193266,0.634255853
0.015141754,0.499833716
0.015190476,0.498230573
0.047116574,0.160630512
0.015969908,0.473913778
0.026257155,0.288239881
0.015161937,0.499168366
0.014750786,0.513081765
0.015126056,0.500352462
0.011982506,0.6316174
0.01502228,0.503808978
0.015133885,0.500093631
0.034515087,0.219276848
0.013453116,0.562572979
0.034477375,0.219516691
0.014566577,0.519570202
0.014833625,0.510216428
0.034427676,0.219833581
0.015133466,0.500107481
0.015029552,0.503565188
0.034026463,0.222425689
0.014891288,0.508240741
0.014975091,0.505396538
0.015117084,0.500649433
0.012009058,0.630220895
0.015155572,0.499378025
0.014962289,0.505828963
0.034400623,0.220006461
0.013587165,0.557022716
0.031860292,0.237548337
0.015065914,0.502349832
0.014827321,0.510433357
0.01514186,0.499830242
0.013415799,0.564137822
0.033500746,0.225916145
0.01503604,0.503347915
0.032822534,0.230584247
0.0150482,0.502941165
0.014860075,0.50930829
0.015101882,0.501153401
0.012062817,0.627412274
0.01501731,0.503975698
0.0151038,0.501089743
0.034420919,0.21987674
0.013541411,0.558904796
0.034361236,0.220258649
0.014624924,0.517497333
0.034282017,0.220767619
0.015118797,0.500592687
0.036623869,0.206651006
0.015113036,0.500783516
0.034038022,0.222350151
0.015129135,0.500250634
0.014942846,0.506487134
0.015210123,0.497587
0.011949624,0.633355444
0.01509539,0.501368907
0.015172569,0.498818581
0.015176281,0.498696565
0.033737767,0.224328992
0.015099246,0.50124088
0.015067333,0.502302511
0.034401711,0.219999504
0.013577708,0.557410673
0.034242291,0.221023744
0.014947159,0.506340989
0.014960131,0.505901956
0.014972121,0.505496824
0.014963107,0.505801321
0.015043665,0.503092798
0.015027881,0.503621205
0.014558282,0.519866252
0.014756591,0.512879929
0.034452304,0.219676435
0.015005034,0.504388006
0.03338474,0.22670116
0.015131757,0.500163963
0.015121121,0.500515762
0.015157999,0.499298067
0.011919295,0.63496701
0.01477779,0.512144202
0.015008133,0.504283872
0.013209265,0.572958415
0.013957304,0.54225081
0.015160671,0.499210069
0.034261715,0.220898442
0.015114156,0.500746424
0.034151208,0.221613228
0.014562597,0.519712186
0.01315396,0.57536737
0.034576334,0.218888427
0.014489185,0.522345414
0.014812769,0.510934801
0.034399021,0.220016706
0.014066352,0.538047079
0.033952415,0.222910782
0.014838203,0.510059031
0.015122681,0.500464132
0.014916088,0.507395716
0.01509188,0.501485518
0.014829687,0.510351935
0.01502524,0.503709704
0.015030527,0.503532519
0.014866726,0.509080421
0.014843001,0.509894149
0.01511281,0.500791015
0.014952433,0.50616239
0.015042583,0.50312896
0.014846359,0.509778807
0.015049784,0.502888224
0.01497628,0.505356435
0.014890086,0.50828178
0.014898041,0.508010365
0.015119748,0.500561205
0.014936119,0.506715246
0.015034439,0.503401514
0.014849192,0.509681546
0.01500348,0.504440261
