0_groupStartEnd_s,0_initRank_s
6.776257,0.161432
6.979835,0.163177
7.001416,0.161526
6.963881,0.163579
6.985237,0.162178
6.948464,0.1851
6.907537,0.194174
6.919682,0.185442
6.931156,0.16093
7.038263,0.079212
6.952547,0.162381
6.974808,0.175264
6.940921,0.1655
6.952032,0.166045
6.783083,0.165067
6.811363,0.165314
6.920507,0.195534
6.989753,0.164565
6.981456,0.164212
6.913427,0.192756
6.93697,0.162121
6.996689,0.161777
6.992379,0.171278
7.007014,0.163352
7.020323,0.161588
6.956994,0.163659
7.00832,0.164075
7.008149,0.163502
6.954061,0.162652
7.010682,0.169816
6.931568,0.191447
6.961589,0.166952
7.000581,0.168918
6.94765,0.164139
6.949158,0.171339
6.917212,0.195519
6.964605,0.167359
6.959002,0.173639
6.943684,0.173727
6.841926,0.175592
7.016721,0.163101
6.926048,0.161522
6.883811,0.169349
6.959404,0.168718
6.951034,0.166887
6.979461,0.170453
6.880521,0.172155
6.927217,0.160985
6.959081,0.171292
6.953365,0.174962
6.975973,0.162824
6.961404,0.170261
6.917094,0.195603
6.931565,0.163511
6.983464,0.164652
6.978781,0.186118
6.957121,0.193682
6.913175,0.188518
6.758063,0.17969
7.006762,0.163872
6.815923,0.163695
6.865097,0.171508
6.850185,0.174179
6.834789,0.164535
6.939314,0.174046
6.945565,0.171633
6.792411,0.186843
6.777624,0.170773
6.930705,0.191071
6.907788,0.199395
6.924501,0.18832
6.989693,0.168808
6.965709,0.172855
6.954537,0.189903
6.79326,0.18553
6.978717,0.191381
6.801095,0.178391
6.963851,0.181193
6.935794,0.196458
6.846816,0.193869
6.939491,0.183383
6.904953,0.196944
6.938307,0.18987
6.936497,0.181449
6.791165,0.186655
6.95267,0.189372
6.966353,0.168935
6.834659,0.19392
6.957757,0.193163
6.93596,0.180069
6.815536,0.183848
7.003062,0.168553
6.948504,0.190955
6.913874,0.18727
6.917704,0.18678
6.807844,0.186499
6.811652,0.187449
6.985203,0.188806
6.80015,0.205591
6.909877,0.184021
6.956215,0.182446
6.93672,0.19567
6.926458,0.186035
6.907248,0.184726
6.745977,0.191536
6.927401,0.191806
6.964159,0.177967
6.997125,0.18508
6.850393,0.186102
6.935779,0.192575
6.958539,0.191425
6.755913,0.19344
6.925308,0.189197
6.95505,0.188889
6.787507,0.189218
6.963367,0.181733
6.966184,0.197977
6.992933,0.189278
7.003397,0.180506
6.941666,0.1752
6.927374,0.201253
6.920152,0.193586
6.920767,0.196914
6.90605,0.186506
6.745656,0.193127
6.927666,0.185971
6.957577,0.18592
6.91449,0.192628
6.93971,0.178054
6.954524,0.187762
7.004529,0.170506
7.015592,0.167423
6.982622,0.189737
6.937087,0.19105
6.921735,0.194627
6.928939,0.182134
6.951265,0.182122
6.957241,0.173528
6.934716,0.197852
6.836383,0.192115
6.903609,0.190667
6.937957,0.189891
6.955011,0.195703
6.867904,0.18526
6.936339,0.193425
6.951733,0.186909
6.940531,0.191286
6.906404,0.190435
6.748351,0.189306
6.763474,0.173251
6.927884,0.185215
6.955445,0.187869
6.929338,0.189673
6.80589,0.173228
6.799466,0.189197
6.825422,0.185629
6.952378,0.189743
6.940258,0.178489
6.965967,0.19719
6.992959,0.189406
6.982808,0.189449
6.93681,0.190923
6.932602,0.18431
6.94239,0.192789
6.920407,0.196128
6.988791,0.192234
6.928049,0.191429
6.91032,0.191778
6.951394,0.191133
6.947116,0.197249
6.922938,0.194382
6.812683,0.204464
6.852692,0.183983
6.925346,0.181253
6.955381,0.195199
6.85387,0.198884
6.917642,0.170379
6.935541,0.195077
6.905029,0.194835
6.925783,0.181999
6.921745,0.170744
6.972001,0.189875
6.745972,0.19178
6.766591,0.170096
6.914213,0.186781
6.976919,0.177858
6.91415,0.19263
6.941837,0.187489
6.791912,0.187731
6.787041,0.189801
6.920493,0.195459
6.8333,0.177907
6.952366,0.18997
6.970354,0.187121
6.926597,0.180502
6.968247,0.190469
6.993345,0.188848
6.984454,0.187743
6.937422,0.190753
6.940839,0.175707
6.949229,0.172772
6.920403,0.196291
6.993897,0.176264
6.920679,0.190703
6.919003,0.201524
6.942611,0.190999
6.908077,0.193947
6.938203,0.192668
6.935273,0.196762
6.939413,0.190405
6.806266,0.199407
6.835071,0.193582
6.902022,0.192597
6.946805,0.193992
6.907876,0.199238
6.955004,0.195008
6.96726,0.183224
6.941419,0.191142
6.744316,0.193189
6.777169,0.173066
6.958637,0.184892
6.913045,0.19329
6.940709,0.189529
6.792605,0.18735
6.79393,0.182769
6.923116,0.193086
6.820416,0.178578
6.952376,0.189823
6.970563,0.187166
6.917957,0.189227
6.979164,0.192202
6.966079,0.196975
6.983359,0.188885
6.942354,0.182581
6.93416,0.188157
6.921291,0.195122
6.976673,0.192907
6.920076,0.19171
6.921027,0.199691
6.939267,0.194248
6.904999,0.197347
6.950755,0.192005
6.942707,0.190252
6.922432,0.196106
6.812794,0.204699
6.903078,0.191324
6.921437,0.196786
6.955499,0.195475
6.853511,0.198605
6.899857,0.189276
6.935245,0.195267
6.916806,0.195058
6.906391,0.18884
6.908959,0.183173
6.965881,0.195826
6.743957,0.194025
6.914012,0.187432
6.955231,0.188306
6.913259,0.193231
6.930011,0.187839
6.785354,0.190972
6.921775,0.194188
6.815025,0.184755
6.957548,0.18794
6.929825,0.189572
6.969733,0.188641
6.966098,0.197643
6.996389,0.18691
6.938552,0.189535
6.945514,0.183529
6.930511,0.191412
6.923599,0.192883
6.979638,0.189451
6.928723,0.191645
6.930341,0.202588
6.939459,0.194384
6.907526,0.194966
6.937913,0.192971
6.93467,0.197868
6.922383,0.195249
6.800147,0.205454
6.901184,0.192743
6.949489,0.178363
6.958068,0.192129
6.853917,0.199234
6.912917,0.187177
6.947578,0.195268
6.950376,0.188467
6.951862,0.191604
6.908772,0.190874
6.921479,0.173633
6.954291,0.195278
6.925533,0.188384
6.914949,0.191971
6.942038,0.187464
6.797463,0.191
6.922934,0.193955
6.810446,0.187484
6.965501,0.180645
6.913902,0.192635
6.967759,0.191438
6.967672,0.196462
7.004665,0.188819
6.932808,0.184108
6.92975,0.192605
6.920921,0.19635
6.97708,0.193049
6.918957,0.201772
6.943967,0.190808
6.906558,0.196227
6.936597,0.194031
6.926282,0.191947
6.813593,0.203405
6.902209,0.191321
6.935149,0.193944
6.908319,0.198559
6.945403,0.192249
6.854517,0.198458
6.900012,0.188279
6.950934,0.179206
6.9583,0.18862
6.936386,0.195211
6.908801,0.186779
6.906792,0.185753
6.95671,0.193531
6.909855,0.195031
6.957622,0.187643
6.914549,0.192123
6.968579,0.190328
6.995431,0.188611
6.941594,0.192356
6.920704,0.195877
6.918753,0.20203
6.952017,0.194558
6.924142,0.193245
6.800124,0.204885
6.901363,0.192312
6.93535,0.193385
6.95133,0.1864
6.864776,0.198374
6.912673,0.188152
6.93681,0.193657
6.951547,0.187116
6.936417,0.196884
6.916829,0.194971
6.90734,0.188819
6.940665,0.189046
6.910175,0.194656
6.95326,0.190288
6.914488,0.192547
6.966713,0.197294
6.937602,0.190018
6.928371,0.191586
6.936543,0.19408
6.934672,0.197801
6.908649,0.197779
6.8651,0.199458
6.911815,0.188372
6.917664,0.176148
6.953991,0.195623
6.980513,0.189412
6.919606,0.200837
6.924059,0.193674
6.9354,0.194965
6.936648,0.194952
6.917213,0.194505
6.907754,0.187401
6.95421,0.195877
6.939493,0.19428
6.828152,0.196111
6.836975,0.199073
6.825012,0.200624
6.829464,0.194716
6.830946,0.19371
6.825899,0.199244
6.826633,0.197589
6.985659,0.185906
6.985278,0.18532
6.997494,0.174664
6.982952,0.187815
6.98546,0.185557
6.922523,0.206701
6.986259,0.184887
6.922465,0.206595
6.923679,0.20576
6.926168,0.202742
6.934621,0.205553
6.854854,0.198785
6.855954,0.197869
6.96981,0.192088
6.759583,0.188308
6.758935,0.189215
6.758984,0.190052
6.746873,0.188966
6.767298,0.182054
6.74783,0.188146
6.922406,0.205908
6.767104,0.181617
6.77739,0.171612
6.911459,0.175955
6.914939,0.186323
6.912287,0.187722
6.922579,0.191347
6.900334,0.187492
6.90036,0.188119
6.904001,0.184407
6.962043,0.189047
6.90443,0.184136
6.923054,0.206034
6.957776,0.192163
6.963518,0.187161
6.900743,0.187038
6.956545,0.193378
6.99473,0.188154
6.771703,0.178078
6.767073,0.18259
6.86942,0.195408
6.866495,0.19933
6.854601,0.198731
6.8667,0.199334
6.854983,0.198995
6.953419,0.193534
6.842575,0.194535
6.908723,0.192816
6.907312,0.194164
6.90735,0.195245
6.908653,0.19242
6.908988,0.19239
6.929129,0.191658
6.98755,0.185718
6.915525,0.184243
6.984001,0.18918
6.939912,0.170725
6.91262,0.186597
6.914155,0.184863
6.912944,0.187066
6.910664,0.189118
6.941452,0.176975
6.948063,0.172262
6.988374,0.18366
6.940383,0.192169
6.928525,0.191308
6.931553,0.18846
6.985028,0.187634
6.940107,0.188741
6.993527,0.178569
6.984853,0.187381
6.928425,0.19226
6.995902,0.189502
6.958501,0.194883
6.968595,0.185656
6.958603,0.194847
6.966748,0.194752
6.973331,0.188127
6.970724,0.194524
6.959142,0.194201
6.945419,0.171954
6.922484,0.183101
6.922377,0.184302
6.932581,0.185767
6.932603,0.184986
6.932349,0.185802
6.984063,0.187519
6.984276,0.186062
6.9811,0.189908
7.004739,0.177586
6.984945,0.185387
6.981094,0.189168
6.983107,0.187307
6.910834,0.188875
6.917108,0.19699
6.907691,0.192927
6.926702,0.173708
6.918664,0.194115
6.917139,0.195942
6.917115,0.195563
6.977299,0.169154
6.971087,0.187808
6.971026,0.188474
6.958076,0.190994
6.964413,0.183688
6.961407,0.187309
6.9606,0.185644
6.962684,0.18485
6.961686,0.185013
6.959832,0.18853
6.971527,0.187222
6.961257,0.185133
6.963519,0.185464
6.958203,0.190768
6.919993,0.192439
7.002653,0.177493
6.988971,0.19047
7.000409,0.191462
6.989713,0.190311
6.989836,0.190043
6.989009,0.191489
6.989169,0.190421
6.994897,0.178847
6.98169,0.190893
6.980605,0.191909
6.980611,0.192942
6.98055,0.192475
6.980891,0.19266
6.993832,0.190834
7.006535,0.168017
6.973181,0.19048
6.989448,0.185296
6.972408,0.190315
6.984776,0.178564
6.972475,0.190362
6.97221,0.190601
