0_init_s,0_finalize_s
5.971,0.011
6.006,0.011
5.986,0.012
6.008,0.012
5.983,0.012
5.996,0.012
5.991,0.012
6.01,0.012
5.993,0.012
6.006,0.012
6.009,0.012
5.994,0.012
5.991,0.012
6.006,0.012
6.008,0.012
6.006,0.012
6.008,0.012
6.006,0.012
6.008,0.012
6.006,0.012
6.008,0.012
6.007,0.012
6.008,0.012
6.01,0.012
5.994,0.012
6.009,0.012
5.994,0.012
6.011,0.012
5.995,0.012
6.006,0.013
6.01,0.012
6.008,0.013
6.009,0.012
6.009,0.013
5.994,0.012
6.009,0.013
5.994,0.013
5.994,0.013
5.996,0.012
5.994,0.013
5.996,0.012
5.995,0.013
5.991,0.012
5.996,0.013
5.991,0.012
5.995,0.012
5.991,0.012
5.996,0.013
5.991,0.012
5.995,0.013
5.991,0.012
5.991,0.013
5.992,0.012
5.992,0.012
5.983,0.012
5.993,0.012
5.983,0.012
5.992,0.012
5.983,0.012
5.993,0.012
5.983,0.012
5.413,0.015
5.993,0.012
5.412,0.015
5.993,0.013
5.413,0.015
5.983,0.013
5.412,0.015
5.983,0.013
5.412,0.015
5.983,0.013
5.413,0.015
5.978,0.012
5.413,0.015
5.978,0.012
5.412,0.016
5.978,0.012
5.978,0.012
5.986,0.012
5.978,0.012
5.986,0.013
5.978,0.012
5.986,0.013
5.978,0.012
5.986,0.013
5.978,0.013
5.986,0.013
5.986,0.013
5.974,0.012
5.986,0.014
5.974,0.012
5.974,0.012
5.977,0.012
5.974,0.012
5.978,0.013
5.975,0.012
5.977,0.013
5.974,0.012
5.977,0.013
5.974,0.012
5.977,0.013
5.974,0.013
5.977,0.013
5.977,0.013
5.978,0.013
5.977,0.013
5.978,0.013
5.977,0.014
5.979,0.013
5.978,0.013
5.977,0.012
5.978,0.013
5.975,0.012
5.978,0.013
5.975,0.012
5.978,0.014
5.975,0.012
5.975,0.012
5.97,0.012
5.975,0.012
5.971,0.012
5.975,0.012
5.971,0.012
5.975,0.012
5.971,0.012
5.975,0.013
5.97,0.012
5.977,0.012
5.971,0.012
5.977,0.012
5.971,0.013
5.977,0.012
5.976,0.013
5.977,0.012
5.976,0.013
5.977,0.012
5.976,0.013
5.978,0.012
5.976,0.013
5.977,0.013
5.976,0.013
5.976,0.013
5.976,0.013
5.998,0.013
5.976,0.014
5.998,0.013
5.998,0.013
5.998,0.013
5.998,0.013
5.998,0.013
5.997,0.012
5.999,0.013
5.997,0.012
5.998,0.014
5.998,0.012
5.997,0.012
5.998,0.012
5.997,0.013
5.997,0.013
5.998,0.013
5.995,0.012
5.995,0.012
5.996,0.012
5.996,0.012
5.996,0.012
5.996,0.013
5.996,0.013
5.996,0.013
5.995,0.012
5.995,0.012
5.995,0.012
5.994,0.012
5.995,0.012
5.995,0.012
5.995,0.012
5.995,0.013
5.993,0.013
5.993,0.013
5.992,0.013
5.993,0.013
5.993,0.013
5.993,0.013
5.994,0.013
5.993,0.014
5.988,0.012
5.988,0.012
5.988,0.012
5.989,0.012
5.988,0.012
5.986,0.014
5.988,0.012
5.986,0.014
5.988,0.012
5.986,0.014
5.988,0.013
5.987,0.014
5.986,0.014
5.986,0.015
5.986,0.015
5.986,0.015
5.98,0.012
5.97,0.012
5.98,0.012
5.97,0.013
5.98,0.012
5.97,0.013
5.98,0.012
5.97,0.013
5.981,0.012
5.97,0.013
5.98,0.012
5.97,0.013
5.98,0.013
5.97,0.013
5.98,0.013
5.97,0.014
5.976,0.013
5.975,0.013
5.975,0.013
5.976,0.013
5.975,0.013
5.459,0.012
5.975,0.013
5.459,0.013
5.975,0.013
5.459,0.013
5.975,0.014
5.459,0.013
5.459,0.013
5.459,0.013
5.459,0.013
5.459,0.014
5.967,0.012
5.967,0.012
5.967,0.012
5.967,0.012
5.967,0.012
5.968,0.012
5.968,0.013
5.967,0.013
5.995,0.012
5.994,0.013
5.995,0.013
5.995,0.013
5.995,0.013
5.995,0.013
5.994,0.013
5.995,0.014
5.992,0.012
5.996,0.013
5.992,0.012
5.997,0.013
5.992,0.012
5.997,0.014
5.992,0.012
5.997,0.014
5.992,0.012
5.997,0.014
5.992,0.012
5.996,0.014
5.992,0.012
5.997,0.014
5.992,0.013
5.997,0.015
5.994,0.012
5.994,0.012
5.994,0.013
5.994,0.013
5.994,0.014
