0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
7.7645e-05,2.2e-05,0.00011957,7.9985e-05,0.00011957
7.5608e-05,2.125e-05,0.00012005,7.677e-05,0.00012005
7.7592e-05,2.19e-05,0.0001195,7.9885e-05,0.0001195
7.6224e-05,2.146e-05,0.0001208,7.7735e-05,0.0001208
7.791e-05,2.223e-05,0.00012004,7.972e-05,0.00011991
7.5566e-05,2.175e-05,0.00011993,7.67e-05,0.00011993
7.774e-05,2.208e-05,0.00012002,7.9495e-05,0.00011999
7.5622e-05,2.162e-05,0.0001201,7.678e-05,0.0001201
7.7816e-05,2.347e-05,0.00011992,7.949e-05,0.00011991
7.5898e-05,2.181e-05,0.00012014,7.724e-05,0.00012014
7.7572e-05,2.177e-05,0.00011971,7.9965e-05,0.00011971
7.5994e-05,2.188e-05,0.00012024,7.741e-05,0.00012024
7.8292e-05,2.273e-05,0.00012039,8.0475e-05,0.00012039
7.5582e-05,2.134e-05,0.00012012,7.675e-05,0.00012012
7.7644e-05,2.191e-05,0.00012002,7.9955e-05,0.00012002
7.5781e-05,2.132e-05,0.00012025,7.6885e-05,0.00012025
7.8136e-05,2.305e-05,0.00012006,8.0555e-05,0.00011974
7.5607e-05,2.137e-05,0.00012016,7.6665e-05,0.00012016
7.8357e-05,2.244e-05,0.00012036,8.0765e-05,0.00012023
7.598e-05,2.172e-05,0.00012051,7.7255e-05,0.00012051
7.7694e-05,2.203e-05,0.00011987,7.962e-05,0.00011961
7.6264e-05,2.173e-05,0.00012069,7.7645e-05,0.00012069
7.7472e-05,2.17e-05,0.00011985,7.935e-05,0.00011974
7.5676e-05,2.165e-05,0.00012039,7.673e-05,0.00012039
7.7881e-05,2.201e-05,0.00011996,8.019e-05,0.0001198
7.5863e-05,2.135e-05,0.00012062,7.7035e-05,0.00012062
7.7961e-05,2.206e-05,0.00012017,8.02e-05,0.00012002
7.5732e-05,2.147e-05,0.00012022,7.678e-05,0.00012022
7.839e-05,2.284e-05,0.00012042,8.0655e-05,0.00012042
7.571e-05,2.131e-05,0.00012012,7.705e-05,0.00012012
7.7918e-05,2.229e-05,0.00012009,7.971e-05,0.00012009
7.5081e-05,2.122e-05,0.00011921,7.634e-05,0.00011921
7.7773e-05,2.22e-05,0.00012005,7.947e-05,0.00012005
7.5498e-05,2.154e-05,0.00011976,7.662e-05,0.00011976
7.7605e-05,2.182e-05,0.00011986,7.9395e-05,0.00011977
7.5732e-05,2.161e-05,0.00012017,7.7005e-05,0.00012017
7.808e-05,2.198e-05,0.00012023,8.009e-05,0.00012017
7.5697e-05,2.161e-05,0.00012028,7.685e-05,0.00012028
7.7728e-05,2.24e-05,0.00011974,7.9645e-05,0.00011972
7.6089e-05,2.174e-05,0.00012068,7.739e-05,0.00012068
7.7917e-05,2.206e-05,0.00012011,7.988e-05,0.00012011
7.5755e-05,2.175e-05,0.00012021,7.6945e-05,0.00012021
7.743e-05,2.187e-05,0.0001198,7.9215e-05,0.0001198
7.6076e-05,2.151e-05,0.0001204,7.751e-05,0.0001204
7.7503e-05,2.182e-05,0.00011989,7.9775e-05,0.00011989
7.6036e-05,2.184e-05,0.00012044,7.708e-05,0.00012044
7.819e-05,2.236e-05,0.00012036,8.0575e-05,0.00012036
7.7965e-05,2.145e-05,0.00012444,7.929e-05,0.00012444
7.754e-05,2.21e-05,0.00011969,7.956e-05,0.00011969
7.6573e-05,2.176e-05,0.00012072,7.764e-05,0.00012072
7.899e-05,2.226e-05,0.00012152,8.125e-05,0.00012152
7.574e-05,2.147e-05,0.00012007,7.69e-05,0.00012007
7.8208e-05,2.299e-05,0.00012028,8.0365e-05,0.00012028
7.5409e-05,2.136e-05,0.0001197,7.6585e-05,0.0001197
7.7549e-05,2.197e-05,0.00011972,7.9345e-05,0.00011972
7.5641e-05,2.16e-05,0.00012011,7.679e-05,0.00012011
7.7724e-05,2.182e-05,0.00012012,8.0005e-05,0.00012012
7.5709e-05,2.142e-05,0.00012021,7.6745e-05,0.00012021
7.8324e-05,2.287e-05,0.00012039,8.051e-05,0.00012039
7.6237e-05,2.147e-05,0.00012098,7.739e-05,0.00012098
7.8659e-05,2.278e-05,0.00012094,8.0825e-05,0.00012094
7.5814e-05,2.158e-05,0.00012013,7.722e-05,0.00012013
7.7709e-05,2.217e-05,0.0001199,7.9515e-05,0.00011983
7.5804e-05,2.129e-05,0.00012043,7.709e-05,0.00012043
7.8008e-05,2.226e-05,0.00012062,7.9955e-05,0.00012062
7.5734e-05,2.132e-05,0.00012045,7.6815e-05,0.00012045
7.8067e-05,2.23e-05,0.00012023,8.03e-05,0.00012023
7.58e-05,2.129e-05,0.00012028,7.6875e-05,0.00012028
7.826e-05,2.228e-05,0.00012033,8.0585e-05,0.00012033
7.5881e-05,2.146e-05,0.00012048,7.7165e-05,0.00012048
7.7931e-05,2.207e-05,0.00012003,8.018e-05,0.00011997
7.5851e-05,2.141e-05,0.00012036,7.6945e-05,0.00012036
7.829e-05,2.238e-05,0.00012034,8.072e-05,0.00012034
7.5955e-05,2.141e-05,0.00012053,7.727e-05,0.00012053
7.7796e-05,2.209e-05,0.00011991,8.01e-05,0.00011991
7.5844e-05,2.137e-05,0.00012039,7.6945e-05,0.00012039
7.7944e-05,2.213e-05,0.00011992,8.029e-05,0.0001199
7.5686e-05,2.167e-05,0.00011996,7.6945e-05,0.00011996
7.7927e-05,2.196e-05,0.00012028,8.017e-05,0.00012028
7.6166e-05,2.132e-05,0.00012076,7.754e-05,0.00012076
7.804e-05,2.196e-05,0.00012035,8.0395e-05,0.00012035
7.5825e-05,2.17e-05,0.00011992,7.729e-05,0.00011992
7.7667e-05,2.209e-05,0.00011978,7.9815e-05,0.00011978
7.5589e-05,2.157e-05,0.00011977,7.69e-05,0.00011977
7.8376e-05,2.222e-05,0.00012064,8.0585e-05,0.00012054
7.5801e-05,2.162e-05,0.00012026,7.7035e-05,0.00012026
7.7782e-05,2.201e-05,0.00012012,7.975e-05,0.00012012
7.6015e-05,2.169e-05,0.00012027,7.7465e-05,0.00012027
7.7601e-05,2.185e-05,0.00011971,7.955e-05,0.00011971
7.5831e-05,2.131e-05,0.00012051,7.7035e-05,0.00012051
7.8167e-05,2.204e-05,0.00012039,8.062e-05,0.00012037
7.6121e-05,2.166e-05,0.00012078,7.7225e-05,0.00012078
7.8422e-05,2.292e-05,0.00012061,8.052e-05,0.0001203
7.5884e-05,2.148e-05,0.00012054,7.695e-05,0.00012054
7.7719e-05,2.195e-05,0.00012023,7.9765e-05,0.00012023
7.5802e-05,2.157e-05,0.00012031,7.6915e-05,0.00012031
7.8178e-05,2.241e-05,0.00012022,8.043e-05,0.00012019
7.6151e-05,2.135e-05,0.0001209,7.7245e-05,0.0001209
7.8318e-05,2.274e-05,0.00012043,8.066e-05,0.0001204
7.5855e-05,2.127e-05,0.00012062,7.7055e-05,0.00012062
