0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
0.101952435,0.10185376,0.10200208,0.101965365,0.10199132
0.102013261,0.10191218,0.1020639,0.102025855,0.1020519
0.101936409,0.10186792,0.10196261,0.10195577,0.10195282
0.105197911,0.10509996,0.1052376,0.105222745,0.10522997
0.104154929,0.10404983,0.10420184,0.10417148,0.10419508
0.102089845,0.10202326,0.10211955,0.102107975,0.10210644
0.102104494,0.10203499,0.10213289,0.102124355,0.10212398
0.10211788,0.10201616,0.10216869,0.102129835,0.10215728
0.10308187,0.10300038,0.10312232,0.103095725,0.10311138
0.103269407,0.10319981,0.10330278,0.103288045,0.10328731
0.102462745,0.10240017,0.10249039,0.10248093,0.10248158
0.102444619,0.10235037,0.10249,0.102458885,0.10248126
0.102224475,0.10215891,0.10225241,0.102242215,0.10224026
0.102274552,0.10220764,0.10230654,0.102293585,0.10229507
0.103008896,0.10291158,0.10305916,0.1030243,0.10304651
0.104914523,0.10483741,0.10496083,0.104926585,0.10494907
0.10254408,0.10246943,0.10258218,0.102557515,0.10257128
0.102432728,0.1023515,0.10248051,0.10244337,0.10246979
0.103950329,0.10386884,0.10399329,0.10396341,0.10398398
0.104833295,0.1047283,0.10488033,0.104848435,0.1048728
0.103046236,0.10295117,0.10309453,0.103061665,0.10308264
0.102373601,0.10227378,0.10242185,0.102387515,0.10241766
0.102284693,0.1021755,0.10233366,0.102298965,0.10232882
0.10242878,0.10232262,0.10247952,0.1024481,0.10246745
0.102217707,0.10212711,0.10226617,0.10223245,0.10225459
0.102575231,0.10250955,0.1026043,0.102592805,0.10258745
0.102509286,0.10240512,0.10255616,0.102529195,0.10254662
0.102852291,0.10275322,0.10290201,0.102868405,0.10289095
0.103568179,0.10347725,0.10361505,0.10358155,0.10360236
0.104380585,0.1042774,0.10443145,0.10439605,0.10441807
0.102367878,0.10226883,0.10241754,0.10238381,0.10240443
0.102320914,0.10225377,0.10235548,0.10234087,0.10234222
0.102285089,0.10220337,0.10232983,0.102297445,0.10231874
0.102303492,0.10221053,0.10235167,0.10231923,0.10234057
0.102306191,0.1022177,0.10235364,0.102321385,0.10234152
0.102394613,0.10229723,0.10244113,0.102410875,0.10242747
0.102328525,0.10222292,0.10238111,0.102342115,0.10236542
