0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s
0.000100203,9.9533e-05,0.000100874,0.000100203
9.9912e-05,9.9787e-05,0.000100036,9.9912e-05
9.978e-05,9.9266e-05,0.000100295,9.978e-05
9.9812e-05,9.9549e-05,0.000100076,9.9812e-05
9.9576e-05,9.9352e-05,9.9799e-05,9.9576e-05
9.9304e-05,9.8895e-05,9.9713e-05,9.9304e-05
9.9634e-05,9.9447e-05,9.982e-05,9.9634e-05
9.9609e-05,9.9178e-05,0.000100039,9.9609e-05
9.9491e-05,9.9471e-05,9.951e-05,9.9491e-05
0.000100208,0.000100099,0.000100317,0.000100208
9.9545e-05,9.9354e-05,9.9736e-05,9.9545e-05
0.00010046,0.000100161,0.00010076,0.00010046
9.9875e-05,9.9701e-05,0.000100049,9.9875e-05
9.9296e-05,9.8818e-05,9.9773e-05,9.9296e-05
9.9195e-05,9.8981e-05,9.941e-05,9.9195e-05
9.9966e-05,9.9683e-05,0.000100249,9.9966e-05
9.9655e-05,9.9565e-05,9.9745e-05,9.9655e-05
0.000100006,9.9129e-05,0.000100883,0.000100006
0.000100117,9.9874e-05,0.000100359,0.000100117
0.000100056,9.9022e-05,0.000101091,0.000100056
9.9631e-05,9.9257e-05,0.000100004,9.9631e-05
9.9596e-05,9.9517e-05,9.9675e-05,9.9596e-05
9.9216e-05,9.9213e-05,9.9219e-05,9.9216e-05
9.9731e-05,9.9568e-05,9.9894e-05,9.9731e-05
9.967e-05,9.9599e-05,9.9742e-05,9.967e-05
0.000100225,9.9917e-05,0.000100533,0.000100225
0.000100678,0.00010059,0.000100765,0.000100678
0.000100257,0.000100006,0.000100508,0.000100257
0.000100089,0.000100056,0.000100122,0.000100089
9.9377e-05,9.9056e-05,9.9699e-05,9.9377e-05
0.000100019,0.000100014,0.000100023,0.000100019
9.9676e-05,9.932e-05,0.000100033,9.9676e-05
9.9607e-05,9.9481e-05,9.9732e-05,9.9607e-05
0.000109195,0.000100079,0.000118311,0.000109195
0.000153896,0.000149212,0.00015858,0.000153896
0.000144197,0.000105679,0.000182715,0.000144197
0.00013196,0.000119745,0.000144176,0.00013196
9.93e-05,9.9118e-05,9.9483e-05,9.93e-05
9.953e-05,9.9498e-05,9.9561e-05,9.953e-05
0.000100169,9.9763e-05,0.000100575,0.000100169
9.9346e-05,9.9049e-05,9.9643e-05,9.9346e-05
9.9593e-05,9.9555e-05,9.9631e-05,9.9593e-05
0.00010051,9.9814e-05,0.000101206,0.00010051
9.9691e-05,9.9383e-05,9.9998e-05,9.9691e-05
0.000100255,9.97e-05,0.000100809,0.000100255
9.9621e-05,9.9438e-05,9.9805e-05,9.9621e-05
0.000115679,0.000106984,0.000124373,0.000115679
0.00010068,0.000100321,0.00010104,0.00010068
9.9937e-05,9.9876e-05,9.9998e-05,9.9937e-05
9.9581e-05,9.9409e-05,9.9752e-05,9.9581e-05
9.9371e-05,9.8839e-05,9.9903e-05,9.9371e-05
0.000100807,0.000100342,0.000101272,0.000100807
9.9779e-05,9.9777e-05,9.978e-05,9.9779e-05
9.998e-05,9.8921e-05,0.000101039,9.998e-05
0.000100474,0.000100266,0.000100682,0.000100474
0.000210409,0.000170008,0.000250811,0.000210409
9.9588e-05,9.9485e-05,9.9691e-05,9.9588e-05
9.9232e-05,9.8941e-05,9.9522e-05,9.9232e-05
9.9408e-05,9.8945e-05,9.9871e-05,9.9408e-05
0.000100361,0.000100209,0.000100513,0.000100361
0.00010046,0.000100166,0.000100753,0.00010046
9.9667e-05,9.9233e-05,0.000100101,9.9667e-05
9.9548e-05,9.9419e-05,9.9676e-05,9.9548e-05
9.9832e-05,9.9797e-05,9.9867e-05,9.9832e-05
9.9661e-05,9.956e-05,9.9761e-05,9.9661e-05
9.9661e-05,9.9158e-05,0.000100164,9.9661e-05
0.00439875,0.000101512,0.008695988,0.00439875
0.001062909,9.9333e-05,0.002026485,0.001062909
0.000100663,9.9884e-05,0.000101442,0.000100663
9.9943e-05,9.9844e-05,0.000100043,9.9943e-05
0.000100566,0.000100403,0.000100729,0.000100566
0.000100133,9.9911e-05,0.000100355,0.000100133
9.9596e-05,9.9367e-05,9.9825e-05,9.9596e-05
0.000100004,9.9958e-05,0.000100049,0.000100004
9.9653e-05,9.9008e-05,0.000100299,9.9653e-05
0.000100169,9.9638e-05,0.0001007,0.000100169
9.9833e-05,9.9757e-05,9.9908e-05,9.9833e-05
9.9613e-05,9.9295e-05,9.9932e-05,9.9613e-05
9.9903e-05,9.9475e-05,0.000100331,9.9903e-05
9.9812e-05,9.9518e-05,0.000100105,9.9812e-05
9.9854e-05,9.9647e-05,0.00010006,9.9854e-05
9.9783e-05,9.9332e-05,0.000100235,9.9783e-05
0.00013037,9.9794e-05,0.000160946,0.00013037
0.000100658,0.000100005,0.00010131,0.000100658
0.000100026,9.9446e-05,0.000100607,0.000100026
9.9283e-05,9.9056e-05,9.951e-05,9.9283e-05
0.000100454,0.000100205,0.000100703,0.000100454
0.00010066,0.000100382,0.000100939,0.00010066
9.9439e-05,9.926e-05,9.9619e-05,9.9439e-05
0.000100411,9.9262e-05,0.000101561,0.000100411
9.9801e-05,9.9527e-05,0.000100076,9.9801e-05
0.000100609,0.000100214,0.000101005,0.000100609
0.000100406,9.9696e-05,0.000101115,0.000100406
9.9826e-05,9.9797e-05,9.9856e-05,9.9826e-05
9.9517e-05,9.912e-05,9.9913e-05,9.9517e-05
0.000100221,0.000100125,0.000100316,0.000100221
9.9732e-05,9.9615e-05,9.985e-05,9.9732e-05
0.000100411,9.9752e-05,0.000101071,0.000100411
9.9873e-05,9.9701e-05,0.000100045,9.9873e-05
0.000100247,9.9949e-05,0.000100545,0.000100247
0.000102562,0.000102273,0.000102852,0.000102562
0.000103441,0.000103152,0.000103731,0.000103441
0.00010579,0.000105288,0.000106292,0.00010579
0.000107917,0.000107321,0.000108513,0.000107917
0.000105046,0.000104602,0.000105491,0.000105046
0.000107018,0.000106315,0.000107722,0.000107018
0.000107565,0.000105884,0.000109246,0.000107565
0.000104723,0.000102931,0.000106516,0.000104723
0.000103501,0.000102594,0.000104408,0.000103501
0.000102142,0.000101467,0.000102817,0.000102142
0.000107817,0.000104095,0.000111539,0.000107817
0.000103648,0.000103214,0.000104081,0.000103648
0.000108625,0.000107852,0.000109398,0.000108625
0.000124416,0.000109863,0.000138968,0.000124416
0.000133635,0.000119976,0.000147294,0.000133635
0.000134623,0.00011763,0.000151615,0.000134623
0.000165482,0.000162176,0.000168787,0.000165482
0.000112361,0.000112143,0.000112579,0.000112361
0.000124278,0.000121946,0.00012661,0.000124278
0.00011269,0.000109111,0.000116268,0.00011269
0.000104805,0.000103753,0.000105856,0.000104805
0.000111099,0.000106744,0.000115453,0.000111099
0.000111813,0.000109293,0.000114333,0.000111813
0.000131276,0.000115351,0.000147201,0.000131276
0.000107946,0.000107707,0.000108186,0.000107946
0.000112977,0.000111209,0.000114745,0.000112977
0.000123856,0.000119877,0.000127834,0.000123856
0.000130128,0.000129859,0.000130396,0.000130128
0.000249725,0.000129777,0.000369673,0.000249725
0.004143711,0.003368571,0.004918852,0.004143711
0.000352753,0.000321768,0.000383738,0.000352753
0.000196787,0.000169579,0.000223994,0.000196787
0.000201848,0.000142198,0.000261498,0.000201848
0.000110948,0.000102966,0.000118931,0.000110948
0.001983551,0.001584038,0.002383064,0.001983551
0.000485361,0.000332893,0.000637828,0.000485361
0.000370432,0.000339678,0.000401186,0.000370432
0.000566865,0.000540791,0.000592939,0.000566865
0.000455028,0.000442418,0.000467638,0.000455028
0.000848183,0.000645233,0.001051133,0.000848183
0.000760111,0.000691649,0.000828572,0.000760111
