,0,1,2,3
App_id,0,0,0,0
Label,Avg-Duration,Min-Duration,Max-Duration,Median-Duration
Unit,s,s,s,s
Convergence_goal,True,True,True,True
Converged,False,False,False,False
Converged_run,0,0,0,0
Run 1,100,100,100,100
Run 2,100,100,100,100
Run 3,100,100,100,100
Run 4,100,100,100,100
Run 5,100,100,100,100
Run 6,100,100,100,100
Run 7,100,100,100,100
Run 8,100,100,100,100
Run 9,100,100,100,100
Run 10,100,100,100,100
Run 11,100,100,100,100
Run 12,100,100,100,100
Run 13,100,100,100,100
Run 14,100,100,100,100
Run 15,100,100,100,100
