0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s
2.096e-06,1.497e-06,2.937e-06,2.07e-06
2.054e-06,1.62e-06,2.608e-06,2.044e-06
2.048e-06,1.478e-06,3.182e-06,2.011e-06
2.545e-06,1.645e-06,1.3047e-05,2.047e-06
2.814e-06,1.202e-06,2.1366e-05,1.971e-06
2.658e-06,1.669e-06,1.5534e-05,2.1e-06
2.161e-06,6.08e-07,4.337e-06,1.974e-06
7.139e-06,1.318e-06,0.000127662,2.06e-06
4.422e-06,1.443e-06,5.9967e-05,2.109e-06
1.1156e-05,1.285e-06,0.000228401,2.091e-06
2.156e-06,6.69e-07,4.775e-06,2.075e-06
2.222e-06,1.654e-06,5.147e-06,2.06e-06
2.242e-06,1.734e-06,4.187e-06,2.143e-06
2.177e-06,1.146e-06,3.228e-06,2.021e-06
6.091e-06,2.92e-07,4.3712e-05,1.876e-06
4.403e-06,1.667e-06,3.5321e-05,2.075e-06
5.368e-06,4.59e-07,4.4053e-05,2.012e-06
4.968e-06,1.6e-06,2.7338e-05,2.01e-06
2.1875e-05,3.64e-07,0.000245576,2.252e-06
1.2054e-05,3.63e-07,6.4231e-05,2.125e-06
1.2561e-05,1.731e-06,8.6567e-05,2.374e-06
2.1135e-05,1.5e-06,9.1606e-05,2.687e-06
5.506e-05,3.08e-07,0.00024123,2.5858e-05
3.2619e-05,1.635e-06,0.000146856,7.168e-06
3.5e-05,1.347e-06,0.000203651,2.216e-06
3.1202e-05,1.691e-06,0.000166456,2.611e-06
4.3525e-05,3.37e-07,0.000168347,2.4489e-05
2.2467e-05,1.805e-06,0.000117312,2.818e-06
2.2614e-05,1.216e-06,0.000146854,3.222e-06
3.6413e-05,1.733e-06,0.000137833,1.122e-05
2.9733e-05,2.67e-07,0.000118574,1.034e-05
8.452e-06,2.71e-07,5.4598e-05,2.169e-06
3.378e-06,2.83e-07,2.0831e-05,2.199e-06
2.07e-06,1.675e-06,3.4e-06,1.937e-06
7.202e-06,3.31e-07,3.5647e-05,2.085e-06
2.079e-06,1.69e-06,2.819e-06,1.991e-06
2.135e-06,1.459e-06,3.181e-06,2.114e-06
2.085e-06,1.318e-06,3.68e-06,1.987e-06
3.808e-06,3.89e-07,2.4736e-05,2.031e-06
2.026e-06,1.537e-06,2.742e-06,1.986e-06
2.188e-06,1.692e-06,2.719e-06,2.246e-06
2.056e-06,1.715e-06,2.711e-06,2.051e-06
2.216e-06,1.171e-06,3.667e-06,2.251e-06
2.074e-06,1.551e-06,2.728e-06,2.018e-06
2.141e-06,1.794e-06,2.735e-06,2.021e-06
2.042e-06,1.432e-06,2.554e-06,2.049e-06
2.065e-06,1.113e-06,3.204e-06,2.093e-06
1.982e-06,1.589e-06,2.636e-06,1.904e-06
2.111e-06,1.709e-06,2.788e-06,2.131e-06
