0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s
4.241e-06,1.37e-06,5.8051e-05,1.991e-06
9.415e-06,1.64e-06,0.000157191,2.031e-06
3.0378e-05,3.02e-07,0.000261405,1.928e-06
1.6502e-05,1.647e-06,8.8107e-05,2.235e-06
1.074e-05,1.589e-06,0.000107256,2.107e-06
7.479e-06,1.625e-06,0.000100392,1.893e-06
1.2205e-05,3.81e-07,9.6406e-05,2.024e-06
3.609e-06,1.819e-06,3.6782e-05,2.091e-06
6.96e-06,1.607e-06,5.3044e-05,2.039e-06
5.663e-06,1.348e-06,8.3845e-05,2.093e-06
1.6051e-05,3.22e-07,0.000168006,2.183e-06
1.8703e-05,3.88e-07,0.000156079,2.152e-06
2.0273e-05,9.85e-07,0.000140228,2.205e-06
1.8976e-05,1.666e-06,0.000186347,2.218e-06
3.7727e-05,2.95e-07,0.000150984,2.6104e-05
2.0386e-05,3.2e-07,0.000174043,2.291e-06
2.4171e-05,2.8e-07,0.000211678,2.105e-06
2.2765e-05,1.457e-06,0.000133297,2.167e-06
3.5216e-05,3.07e-07,0.000149859,1.8084e-05
3.3378e-05,1.775e-06,0.000139693,9.366e-06
3.3859e-05,1.791e-06,0.000169986,1.9691e-05
2.7883e-05,1.44e-06,0.000136303,6.065e-06
4.1464e-05,2.81e-07,0.000170734,2.1937e-05
2.2433e-05,1.706e-06,0.000138792,2.431e-06
2.4833e-05,1.704e-06,0.000117131,2.118e-06
3.1454e-05,1.651e-06,0.000136744,1.3943e-05
5.6686e-05,2.96e-07,0.000186621,2.3705e-05
4.6599e-05,2.9e-07,0.000180902,2.4695e-05
4.5605e-05,6.26e-07,0.000201254,3.6868e-05
3.9067e-05,1.851e-06,0.000142396,2.811e-05
6.8666e-05,3.2e-07,0.000314166,3.478e-05
5.5922e-05,1.595e-06,0.000202538,3.4429e-05
7.9239e-05,1.881e-06,0.00019143,7.2987e-05
6.598e-05,1.748e-06,0.000267585,4.4217e-05
8.9457e-05,3.13e-07,0.000220113,8.2921e-05
