# ststem: haicgu, experiment: a2a_b, nnodes: 10, process-per-node: 1
# msg_size, extra, datafile
1B, cn-eth, ./data/haicgu/2024-07-30_12:04:46/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_12:05:14/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_12:05:43/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_12:06:11/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_12:06:39/data.csv
4KiB, cn-eth, ./data/haicgu/2024-07-30_12:07:07/data.csv
32KiB, cn-eth, ./data/haicgu/2024-07-30_12:07:35/data.csv
256KiB, cn-eth, ./data/haicgu/2024-07-30_12:08:03/data.csv
2MiB, cn-eth, ./data/haicgu/2024-07-30_12:08:33/data.csv
16MiB, cn-eth, ./data/haicgu/2024-07-30_12:09:03/data.csv
128MiB, cn-eth, ./data/haicgu/2024-07-30_12:09:50/data.csv
8GiB, cn-eth, ./data/haicgu/2024-07-30_12:14:41/data.csv
1B, cn-ib, ./data/haicgu/2024-07-30_21:17:40/data.csv
4B, cn-ib, ./data/haicgu/2024-07-30_21:18:07/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_21:18:36/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_21:19:04/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_21:19:33/data.csv
4KiB, cn-ib, ./data/haicgu/2024-07-30_21:20:04/data.csv
32KiB, cn-ib, ./data/haicgu/2024-07-30_21:20:32/data.csv
256KiB, cn-ib, ./data/haicgu/2024-07-30_21:20:59/data.csv
2MiB, cn-ib, ./data/haicgu/2024-07-30_21:21:29/data.csv
16MiB, cn-ib, ./data/haicgu/2024-07-30_21:21:59/data.csv
128MiB, cn-ib, ./data/haicgu/2024-07-30_21:22:44/data.csv
8GiB, cn-ib, ./data/haicgu/2024-07-30_21:25:44/data.csv
1B, cn-eth, ./data/haicgu/2024-07-30_12:04:46/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_12:05:14/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_12:05:43/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_12:06:11/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_12:06:39/data.csv
4KiB, cn-eth, ./data/haicgu/2024-07-30_12:07:07/data.csv
32KiB, cn-eth, ./data/haicgu/2024-07-30_12:07:35/data.csv
256KiB, cn-eth, ./data/haicgu/2024-07-30_12:08:03/data.csv
2MiB, cn-eth, ./data/haicgu/2024-07-30_12:08:33/data.csv
16MiB, cn-eth, ./data/haicgu/2024-07-30_12:09:03/data.csv
128MiB, cn-eth, ./data/haicgu/2024-07-30_12:09:50/data.csv
8GiB, cn-eth, ./data/haicgu/2024-07-30_12:14:41/data.csv
1B, cn-ib, ./data/haicgu/2024-07-30_21:17:40/data.csv
4B, cn-ib, ./data/haicgu/2024-07-30_21:18:07/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_21:18:36/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_21:19:04/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_21:19:33/data.csv
4KiB, cn-ib, ./data/haicgu/2024-07-30_21:20:04/data.csv
32KiB, cn-ib, ./data/haicgu/2024-07-30_21:20:32/data.csv
256KiB, cn-ib, ./data/haicgu/2024-07-30_21:20:59/data.csv
2MiB, cn-ib, ./data/haicgu/2024-07-30_21:21:29/data.csv
16MiB, cn-ib, ./data/haicgu/2024-07-30_21:21:59/data.csv
128MiB, cn-ib, ./data/haicgu/2024-07-30_21:22:44/data.csv
8GiB, cn-ib, ./data/haicgu/2024-07-30_21:25:44/data.csv
1B, cn-eth, ./data/haicgu/2024-07-30_12:04:46/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_12:05:14/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_12:05:43/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_12:06:11/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_12:06:39/data.csv
4KiB, cn-eth, ./data/haicgu/2024-07-30_12:07:07/data.csv
32KiB, cn-eth, ./data/haicgu/2024-07-30_12:07:35/data.csv
256KiB, cn-eth, ./data/haicgu/2024-07-30_12:08:03/data.csv
2MiB, cn-eth, ./data/haicgu/2024-07-30_12:08:33/data.csv
16MiB, cn-eth, ./data/haicgu/2024-07-30_12:09:03/data.csv
128MiB, cn-eth, ./data/haicgu/2024-07-30_12:09:50/data.csv
8GiB, cn-eth, ./data/haicgu/2024-07-30_12:14:41/data.csv
1B, cn-ib, ./data/haicgu/2024-07-30_21:17:40/data.csv
4B, cn-ib, ./data/haicgu/2024-07-30_21:18:07/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_21:18:36/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_21:19:04/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_21:19:33/data.csv
4KiB, cn-ib, ./data/haicgu/2024-07-30_21:20:04/data.csv
32KiB, cn-ib, ./data/haicgu/2024-07-30_21:20:32/data.csv
256KiB, cn-ib, ./data/haicgu/2024-07-30_21:20:59/data.csv
2MiB, cn-ib, ./data/haicgu/2024-07-30_21:21:29/data.csv
16MiB, cn-ib, ./data/haicgu/2024-07-30_21:21:59/data.csv
128MiB, cn-ib, ./data/haicgu/2024-07-30_21:22:44/data.csv
8GiB, cn-ib, ./data/haicgu/2024-07-30_21:25:44/data.csv
