# ststem: haicgu, experiment: ardc_b, nnodes: 10, process-per-node: 1
# msg_size, extra, datafile
4B, cn-eth, ./data/haicgu/2024-07-30_13:51:16/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_13:51:44/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_13:52:12/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_13:52:39/data.csv
4KiB, cn-eth, ./data/haicgu/2024-07-30_13:53:07/data.csv
32KiB, cn-eth, ./data/haicgu/2024-07-30_13:53:35/data.csv
256KiB, cn-eth, ./data/haicgu/2024-07-30_13:54:04/data.csv
2MiB, cn-eth, ./data/haicgu/2024-07-30_13:54:35/data.csv
16MiB, cn-eth, ./data/haicgu/2024-07-30_13:55:04/data.csv
128MiB, cn-eth, ./data/haicgu/2024-07-30_13:55:46/data.csv
1GiB, cn-eth, ./data/haicgu/2024-07-30_13:58:18/data.csv
8GiB, cn-eth, ./data/haicgu/2024-07-30_14:08:19/data.csv
4B, cn-ib, ./data/haicgu/2024-07-30_23:04:30/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_23:04:58/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_23:05:26/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_23:05:55/data.csv
4KiB, cn-ib, ./data/haicgu/2024-07-30_23:06:23/data.csv
32KiB, cn-ib, ./data/haicgu/2024-07-30_23:06:51/data.csv
256KiB, cn-ib, ./data/haicgu/2024-07-30_23:07:20/data.csv
2MiB, cn-ib, ./data/haicgu/2024-07-30_23:07:52/data.csv
16MiB, cn-ib, ./data/haicgu/2024-07-30_23:08:21/data.csv
128MiB, cn-ib, ./data/haicgu/2024-07-30_23:09:02/data.csv
1GiB, cn-ib, ./data/haicgu/2024-07-30_23:11:36/data.csv
8GiB, cn-ib, ./data/haicgu/2024-07-30_23:21:37/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_13:51:16/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_13:51:44/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_13:52:12/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_13:52:39/data.csv
4KiB, cn-eth, ./data/haicgu/2024-07-30_13:53:07/data.csv
32KiB, cn-eth, ./data/haicgu/2024-07-30_13:53:35/data.csv
256KiB, cn-eth, ./data/haicgu/2024-07-30_13:54:04/data.csv
2MiB, cn-eth, ./data/haicgu/2024-07-30_13:54:35/data.csv
16MiB, cn-eth, ./data/haicgu/2024-07-30_13:55:04/data.csv
128MiB, cn-eth, ./data/haicgu/2024-07-30_13:55:46/data.csv
1GiB, cn-eth, ./data/haicgu/2024-07-30_13:58:18/data.csv
8GiB, cn-eth, ./data/haicgu/2024-07-30_14:08:19/data.csv
4B, cn-ib, ./data/haicgu/2024-07-30_23:04:30/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_23:04:58/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_23:05:26/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_23:05:55/data.csv
4KiB, cn-ib, ./data/haicgu/2024-07-30_23:06:23/data.csv
32KiB, cn-ib, ./data/haicgu/2024-07-30_23:06:51/data.csv
256KiB, cn-ib, ./data/haicgu/2024-07-30_23:07:20/data.csv
2MiB, cn-ib, ./data/haicgu/2024-07-30_23:07:52/data.csv
16MiB, cn-ib, ./data/haicgu/2024-07-30_23:08:21/data.csv
128MiB, cn-ib, ./data/haicgu/2024-07-30_23:09:02/data.csv
1GiB, cn-ib, ./data/haicgu/2024-07-30_23:11:36/data.csv
8GiB, cn-ib, ./data/haicgu/2024-07-30_23:21:37/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_13:51:16/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_13:51:44/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_13:52:12/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_13:52:39/data.csv
4KiB, cn-eth, ./data/haicgu/2024-07-30_13:53:07/data.csv
32KiB, cn-eth, ./data/haicgu/2024-07-30_13:53:35/data.csv
256KiB, cn-eth, ./data/haicgu/2024-07-30_13:54:04/data.csv
2MiB, cn-eth, ./data/haicgu/2024-07-30_13:54:35/data.csv
16MiB, cn-eth, ./data/haicgu/2024-07-30_13:55:04/data.csv
128MiB, cn-eth, ./data/haicgu/2024-07-30_13:55:46/data.csv
1GiB, cn-eth, ./data/haicgu/2024-07-30_13:58:18/data.csv
8GiB, cn-eth, ./data/haicgu/2024-07-30_14:08:19/data.csv
4B, cn-ib, ./data/haicgu/2024-07-30_23:04:30/data.csv
8B, cn-ib, ./data/haicgu/2024-07-30_23:04:58/data.csv
64B, cn-ib, ./data/haicgu/2024-07-30_23:05:26/data.csv
512B, cn-ib, ./data/haicgu/2024-07-30_23:05:55/data.csv
4KiB, cn-ib, ./data/haicgu/2024-07-30_23:06:23/data.csv
32KiB, cn-ib, ./data/haicgu/2024-07-30_23:06:51/data.csv
256KiB, cn-ib, ./data/haicgu/2024-07-30_23:07:20/data.csv
2MiB, cn-ib, ./data/haicgu/2024-07-30_23:07:52/data.csv
16MiB, cn-ib, ./data/haicgu/2024-07-30_23:08:21/data.csv
128MiB, cn-ib, ./data/haicgu/2024-07-30_23:09:02/data.csv
1GiB, cn-ib, ./data/haicgu/2024-07-30_23:11:36/data.csv
8GiB, cn-ib, ./data/haicgu/2024-07-30_23:21:37/data.csv
