# ststem: haicgu, experiment: inc_b, nnodes: 10, process-per-node: 1
# msg_size, extra, datafile
1B, cn-eth, ./data/haicgu/2024-07-30_17:09:45/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_17:10:12/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_17:10:40/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_17:11:08/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_17:11:36/data.csv
4KiB, cn-eth, ./data/haicgu/2024-07-30_17:12:04/data.csv
32KiB, cn-eth, ./data/haicgu/2024-07-30_17:12:32/data.csv
256KiB, cn-eth, ./data/haicgu/2024-07-30_17:13:00/data.csv
2MiB, cn-eth, ./data/haicgu/2024-07-30_17:13:30/data.csv
16MiB, cn-eth, ./data/haicgu/2024-07-30_17:14:00/data.csv
128MiB, cn-eth, ./data/haicgu/2024-07-30_17:14:41/data.csv
8GiB, cn-eth, ./data/haicgu/2024-07-30_17:17:23/data.csv
1B, cn-ib, ./data/haicgu/2024-07-31_02:07:05/data.csv
4B, cn-ib, ./data/haicgu/2024-07-31_02:07:32/data.csv
8B, cn-ib, ./data/haicgu/2024-07-31_02:08:00/data.csv
64B, cn-ib, ./data/haicgu/2024-07-31_02:08:28/data.csv
512B, cn-ib, ./data/haicgu/2024-07-31_02:08:57/data.csv
4KiB, cn-ib, ./data/haicgu/2024-07-31_02:09:25/data.csv
32KiB, cn-ib, ./data/haicgu/2024-07-31_02:09:52/data.csv
256KiB, cn-ib, ./data/haicgu/2024-07-31_02:10:20/data.csv
2MiB, cn-ib, ./data/haicgu/2024-07-31_02:10:49/data.csv
16MiB, cn-ib, ./data/haicgu/2024-07-31_02:11:17/data.csv
128MiB, cn-ib, ./data/haicgu/2024-07-31_02:11:57/data.csv
8GiB, cn-ib, ./data/haicgu/2024-07-31_02:14:40/data.csv
1B, cn-eth, ./data/haicgu/2024-07-30_17:09:45/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_17:10:12/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_17:10:40/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_17:11:08/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_17:11:36/data.csv
4KiB, cn-eth, ./data/haicgu/2024-07-30_17:12:04/data.csv
32KiB, cn-eth, ./data/haicgu/2024-07-30_17:12:32/data.csv
256KiB, cn-eth, ./data/haicgu/2024-07-30_17:13:00/data.csv
2MiB, cn-eth, ./data/haicgu/2024-07-30_17:13:30/data.csv
16MiB, cn-eth, ./data/haicgu/2024-07-30_17:14:00/data.csv
128MiB, cn-eth, ./data/haicgu/2024-07-30_17:14:41/data.csv
8GiB, cn-eth, ./data/haicgu/2024-07-30_17:17:23/data.csv
1B, cn-ib, ./data/haicgu/2024-07-31_02:07:05/data.csv
4B, cn-ib, ./data/haicgu/2024-07-31_02:07:32/data.csv
8B, cn-ib, ./data/haicgu/2024-07-31_02:08:00/data.csv
64B, cn-ib, ./data/haicgu/2024-07-31_02:08:28/data.csv
512B, cn-ib, ./data/haicgu/2024-07-31_02:08:57/data.csv
4KiB, cn-ib, ./data/haicgu/2024-07-31_02:09:25/data.csv
32KiB, cn-ib, ./data/haicgu/2024-07-31_02:09:52/data.csv
256KiB, cn-ib, ./data/haicgu/2024-07-31_02:10:20/data.csv
2MiB, cn-ib, ./data/haicgu/2024-07-31_02:10:49/data.csv
16MiB, cn-ib, ./data/haicgu/2024-07-31_02:11:17/data.csv
128MiB, cn-ib, ./data/haicgu/2024-07-31_02:11:57/data.csv
8GiB, cn-ib, ./data/haicgu/2024-07-31_02:14:40/data.csv
1B, cn-eth, ./data/haicgu/2024-07-30_17:09:45/data.csv
4B, cn-eth, ./data/haicgu/2024-07-30_17:10:12/data.csv
8B, cn-eth, ./data/haicgu/2024-07-30_17:10:40/data.csv
64B, cn-eth, ./data/haicgu/2024-07-30_17:11:08/data.csv
512B, cn-eth, ./data/haicgu/2024-07-30_17:11:36/data.csv
4KiB, cn-eth, ./data/haicgu/2024-07-30_17:12:04/data.csv
32KiB, cn-eth, ./data/haicgu/2024-07-30_17:12:32/data.csv
256KiB, cn-eth, ./data/haicgu/2024-07-30_17:13:00/data.csv
2MiB, cn-eth, ./data/haicgu/2024-07-30_17:13:30/data.csv
16MiB, cn-eth, ./data/haicgu/2024-07-30_17:14:00/data.csv
128MiB, cn-eth, ./data/haicgu/2024-07-30_17:14:41/data.csv
8GiB, cn-eth, ./data/haicgu/2024-07-30_17:17:23/data.csv
1B, cn-ib, ./data/haicgu/2024-07-31_02:07:05/data.csv
4B, cn-ib, ./data/haicgu/2024-07-31_02:07:32/data.csv
8B, cn-ib, ./data/haicgu/2024-07-31_02:08:00/data.csv
64B, cn-ib, ./data/haicgu/2024-07-31_02:08:28/data.csv
512B, cn-ib, ./data/haicgu/2024-07-31_02:08:57/data.csv
4KiB, cn-ib, ./data/haicgu/2024-07-31_02:09:25/data.csv
32KiB, cn-ib, ./data/haicgu/2024-07-31_02:09:52/data.csv
256KiB, cn-ib, ./data/haicgu/2024-07-31_02:10:20/data.csv
2MiB, cn-ib, ./data/haicgu/2024-07-31_02:10:49/data.csv
16MiB, cn-ib, ./data/haicgu/2024-07-31_02:11:17/data.csv
128MiB, cn-ib, ./data/haicgu/2024-07-31_02:11:57/data.csv
8GiB, cn-ib, ./data/haicgu/2024-07-31_02:14:40/data.csv
