# ststem: nanjin, experiment: a2a_b, nnodes: 8, process-per-node: 64
# msg_size, extra, datafile
1B, nanjin, ./data/nanjin/2024-07-30_14:47:41/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_14:47:48/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_14:47:55/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_14:48:03/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_14:48:10/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_14:48:17/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_14:48:25/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_14:48:33/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_14:48:42/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_14:48:50/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_14:49:05/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_14:50:23/data.csv
1B, nanjin, ./data/nanjin/2024-07-31_09:07:33/data.csv
4B, nanjin, ./data/nanjin/2024-07-31_09:07:40/data.csv
8B, nanjin, ./data/nanjin/2024-07-31_09:07:47/data.csv
64B, nanjin, ./data/nanjin/2024-07-31_09:07:55/data.csv
512B, nanjin, ./data/nanjin/2024-07-31_09:08:02/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-31_09:08:09/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-31_09:08:17/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-31_09:08:25/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-31_09:08:35/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-31_09:08:43/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-31_09:08:57/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-31_09:10:16/data.csv
1B, nanjin, ./data/nanjin/2024-07-30_14:47:41/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_14:47:48/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_14:47:55/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_14:48:03/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_14:48:10/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_14:48:17/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_14:48:25/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_14:48:33/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_14:48:42/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_14:48:50/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_14:49:05/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_14:50:23/data.csv
1B, nanjin, ./data/nanjin/2024-07-31_09:07:33/data.csv
4B, nanjin, ./data/nanjin/2024-07-31_09:07:40/data.csv
8B, nanjin, ./data/nanjin/2024-07-31_09:07:47/data.csv
64B, nanjin, ./data/nanjin/2024-07-31_09:07:55/data.csv
512B, nanjin, ./data/nanjin/2024-07-31_09:08:02/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-31_09:08:09/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-31_09:08:17/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-31_09:08:25/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-31_09:08:35/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-31_09:08:43/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-31_09:08:57/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-31_09:10:16/data.csv
1B, nanjin, ./data/nanjin/2024-07-30_14:47:41/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_14:47:48/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_14:47:55/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_14:48:03/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_14:48:10/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_14:48:17/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_14:48:25/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_14:48:33/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_14:48:42/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_14:48:50/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_14:49:05/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_14:50:23/data.csv
1B, nanjin, ./data/nanjin/2024-07-31_09:07:33/data.csv
4B, nanjin, ./data/nanjin/2024-07-31_09:07:40/data.csv
8B, nanjin, ./data/nanjin/2024-07-31_09:07:47/data.csv
64B, nanjin, ./data/nanjin/2024-07-31_09:07:55/data.csv
512B, nanjin, ./data/nanjin/2024-07-31_09:08:02/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-31_09:08:09/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-31_09:08:17/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-31_09:08:25/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-31_09:08:35/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-31_09:08:43/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-31_09:08:57/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-31_09:10:16/data.csv
