# ststem: nanjin, experiment: inc_b, nnodes: 2, process-per-node: 128
# msg_size, extra, datafile
1B, nanjin2, ./data/nanjin/2024-08-07_09:18:21/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:18:27/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:18:33/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:18:39/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:18:45/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:18:51/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:18:57/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:19:04/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:19:10/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:19:16/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:19:23/data.csv
1GiB, nanjin2, ./data/nanjin/2024-08-07_09:19:35/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:20:29/data.csv
1B, nanjin2, ./data/nanjin/2024-08-07_09:18:21/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:18:27/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:18:33/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:18:39/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:18:45/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:18:51/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:18:57/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:19:04/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:19:10/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:19:16/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:19:23/data.csv
1GiB, nanjin2, ./data/nanjin/2024-08-07_09:19:35/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:20:29/data.csv
1B, nanjin2, ./data/nanjin/2024-08-07_09:18:21/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:18:27/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:18:33/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:18:39/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:18:45/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:18:51/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:18:57/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:19:04/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:19:10/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:19:16/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:19:23/data.csv
1GiB, nanjin2, ./data/nanjin/2024-08-07_09:19:35/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:20:29/data.csv
