size,"('cn-eth', 'cn-ib')","('cn-eth', 'haicgu2')","('cn-ib', 'cn-eth')","('cn-ib', 'haicgu2')","('haicgu2', 'cn-eth')","('haicgu2', 'cn-ib')",cn-eth,cn-ib,haicgu2
128MiB,1.0180880862724435,1.01011628150514,0.9822332796971724,0.992169828058306,0.9899850327230979,1.007891967403421,0.3580786387770285,0.35171675575545985,0.35449249292711893
16MiB,1.018856623869666,0.991972101375321,0.9814923675933444,0.9736130463654088,1.0080928673432938,1.0271020953684795,0.46049555716804724,0.45197287467108294,0.4642222866243845
1B,0.5513525656072739,0.9997927058734237,1.813721495788406,1.813345521975084,1.0002073371063407,0.5514668814528003,2.554505684890119e-05,4.6331618717988926e-05,2.5550353287069545e-05
256KiB,0.918658250197429,1.0014629680039362,1.0885440802225308,1.0901365853827707,0.998539169144864,0.9173162458802153,0.4818455061333825,0.5245100732833228,0.48114161135061423
2MiB,0.9964260762787578,1.0069775824514893,1.0035867424652205,1.0105893517079931,0.993070766844181,0.9895216076736846,0.5297246542105832,0.5316246401227146,0.5260540685731726
32KiB,0.7789177366093748,0.9909738193709264,1.2838326218542606,1.272244516711907,1.0091083946443746,0.786012426749916,0.1595200906987635,0.204797096280223,0.16097306263855427
4B,0.5318749215010431,0.9730216699471542,1.8801412880641692,1.8294182158487917,1.027726340415739,0.5466218666331755,9.995169659969116e-05,0.0001879233115891424,0.00010272299136474486
4KiB,0.7377456633455938,0.9842619752949867,1.3554806889207756,1.334148100351372,1.015989670534917,0.7495419734410534,0.04341298432337983,0.058845461898761726,0.04410714363964819
512B,0.6613520750390793,1.0139678065777895,1.5120539236849146,1.533174000426133,0.9862246054685585,0.6522416892812285,0.008520780006637502,0.012883878841892207,0.008403402900330452
64B,0.6197026554462289,1.0145018114237914,1.6136771259757319,1.6370783673555176,0.9857054849380319,0.6108443065040112,0.0012609483190247981,0.0020347634594478662,0.0012429236742861347
8B,0.5602575814480302,1.03264359301327,1.7848932939299467,1.8431586241891107,0.9683883256196696,0.5425469012141836,0.00020905559419870994,0.0003731419281438176,0.00020244699682751382
