size,"('cn-eth', 'cn-ib')","('cn-ib', 'cn-eth')",cn-eth,cn-ib
128MiB,0.9886150505751353,1.011516059176159,0.97944782562259,0.99072720474242
16MiB,0.9872119592535185,1.0129536931016832,0.97450390640254,0.98712733093247
1B,0.6017645135172347,1.6617796123522326,4.4275456900000004e-05,7.357605160399999e-05
256KiB,0.9147297352623498,1.093219080402141,0.718327167692408,0.7852889656925689
2MiB,0.9752770516167011,1.0253496668893378,0.9348599698644401,0.95855835868868
32KiB,0.9621167119399533,1.0393749402644312,0.234019920630986,0.24323444102651803
4KiB,0.8397761300497435,1.1907935510631456,0.07139386778303,0.08501535734148699
512B,0.7309727170654513,1.3680401151148025,0.016108204190086003,0.022036669514497998
64B,0.6569863807398629,1.5221015675756528,0.0025737365647160006,0.003917488459681
8B,0.6002645546061016,1.6659321166418164,0.00035423507253500003,0.000590131584177
