size,"('inter-switch', 'intra-switch')","('intra-switch', 'inter-switch')",inter-switch,intra-switch
128MiB,0.9889337409920405,1.0111900914583605,0.96317645034794,0.9739544829178725
16MiB,0.9811001023082797,1.0192639850380747,0.94499233085637,0.9631966489790825
1B,0.5114695229808223,1.9551507080461865,8.733791548e-06,1.7075878729e-05
256KiB,0.7347473908896819,1.361011978265254,0.402398330387989,0.5476689476919923
2MiB,0.9302441035796616,1.074986657966346,0.828607651443285,0.8907421699903599
32KiB,0.7361257873864739,1.3584634815611876,0.09115344017991901,0.12382861970309224
4KiB,0.648504274073763,1.542009883324619,0.022463370139300505,0.0346387387675805
512B,0.5601683815180329,1.7851775162497423,0.00388098107441,0.0069282401550275
64B,0.5260215455336902,1.9010628148043278,0.0005388050981395001,0.0010243023365000001
8B,0.512208442277349,1.9523301793970105,6.959193179849999e-05,0.00013586642869274998
