# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: slimfly100.cscs.ch
# Release : 3.10.0-1160.15.2.el7.x86_64
# Version : #1 SMP Wed Feb 3 15:06:38 UTC 2021
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 10.934632 
# Number of iterations (recorded+unrecorded): 3864123130 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	9084.86
999879.19	2556.88
1999727.40	4430.35
2999602.95	3471.75
3999504.01	2288.98
4999403.25	2372.82
5999287.91	3101.79
6999176.21	2443.89
7999082.74	3101.79
8998958.28	5179.37
9998857.52	2407.44
10998738.54	2119.50
11998639.60	9004.67
12998526.08	2766.46
13998423.49	1999.22
14998315.44	1955.48
15998200.10	1950.01
16998092.05	1959.12
17997993.11	1988.28
18997874.12	4545.16
19997778.83	2001.04
20997659.84	1939.07
21997553.61	1953.65
22997451.03	1964.59
23997333.87	1957.30
24997233.11	1944.54
25997119.59	1951.83
26997013.36	1948.19
27996903.48	1948.19
28996793.61	1946.36
29996694.67	2325.43
30996568.39	1950.01
31996471.28	1962.77
32996363.23	1955.48
33996247.88	1948.19
34996150.77	1948.19
35996028.14	1940.90
36995923.73	1951.83
37995830.26	1962.77
38995711.27	1966.41
39995606.87	2070.29
40995496.99	2361.88
41995383.47	1966.41
42995268.13	1962.77
43995172.84	1960.94
44995064.79	1979.17
45994949.44	1955.48
46994848.68	1970.06
47994724.23	1975.52
48994628.93	1948.19
49994519.06	1968.23
50994405.54	1968.23
51994304.78	2319.96
52994185.79	1970.06
53994086.86	1960.94
54993978.80	1959.12
55993867.11	1968.23
56993766.35	1968.23
57993651.00	1968.23
58993537.49	1955.48
59993423.97	1970.06
60993323.21	1971.88
61993213.33	1951.83
62993108.92	2319.96
63993000.87	1968.23
64992900.11	1948.19
65992777.48	1962.77
66992682.19	1966.41
67992565.02	1953.65
68992460.62	3772.45
69992341.63	1966.41
70992237.22	1951.83
71992130.99	1980.99
72992017.48	1962.77
73991909.42	2412.91
74991808.66	1960.94
75991698.79	1953.65
76991596.20	1962.77
77991477.22	1950.01
78991370.99	1966.41
79991255.65	1973.70
80991160.35	1953.65
81991043.19	1973.70
82990933.32	1964.59
83990827.09	1955.48
84990713.57	2325.43
85990612.81	1962.77
86990493.82	1944.54
87990393.06	1948.19
88990283.18	1971.88
89990184.24	1970.06
90990072.55	1953.65
91989968.14	1966.41
92989852.80	1960.94
93989744.75	1946.36
94989645.81	1975.52
95989526.82	2318.14
96989418.77	1957.30
97989305.25	1964.59
98989199.02	1977.35
99989094.62	1946.36
100988984.74	1968.23
101988883.98	1955.48
102988768.64	1942.72
103988666.06	1966.41
104988550.72	2001.04
105988446.31	1975.52
106988340.08	2314.50
107988228.38	1957.30
108988116.69	1960.94
109988006.81	1942.72
110987904.23	1964.59
111987787.07	1970.06
112987686.30	1942.72
113987583.72	1970.06
114987459.27	3699.55
115987354.86	1968.23
116987241.34	1957.30
117987140.58	2422.02
118987037.99	3524.60
119986917.19	1948.19
120986820.07	1982.81
121986708.37	1968.23
122986593.03	3912.78
123986492.27	1964.59
124986375.11	1975.52
125986281.63	1948.19
126986159.00	3763.34
127986056.42	2032.02
128985957.48	2411.09
129985831.20	1944.54
130985728.62	1971.88
131985618.75	1970.06
132985517.98	1950.01
133985409.93	1971.88
134985300.06	1966.41
135985195.65	1951.83
136985076.67	1975.52
137984968.61	1970.06
138984869.68	1959.12
139984759.80	2312.67
140984644.46	1977.35
